,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
21,Explorer,California Express - 3 Days," Los Angeles, Santa Barbara, Carmel, San Francisco, Yosemite National Park ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Amadeo,3 days,590,167549
22,Active Adventure,8 Day Grand Teton & Yellowstone Explorer," Salt Lake City, Jackson, Grand Teton National Park, Yellowstone National Park ", 12 to 90 ,"Mountain Hikes, Wildlife, Group, Fully Guided, Explorer, Hiking & Trekking+4 more",Southwest Adventure Tours,8 days,"3,899",104092
23,Explorer,"Sedona, Monument Valley & Antelope Canyon – 3 days"," Las Vegas, Sedona, Monument Valley, Page, Antelope Canyon, Valley of Fire State Park+1 more", 7 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Amadeo,3 days,590,167900
24,Active Adventure,Magnificent West – 8 days," Los Angeles, Santa Barbara, Carmel, San Francisco, Yosemite National Park, Las Vegas, Sedona, Monument Valley, Zion National Park, Valley of Fire State Park+5 more", 1 to 99 ,"Family, Wildlife, Private, Group, Fully Guided, Christmas & New Year+3 more",Amadeo,8 days,"1,495",167739
25,Hiking & Trekking,Hike Alaska: Valdez and Wrangell St Elias," Anchorage, Valdez, Glennallen ", 12 to 90 ,"Group, Fully Guided, Explorer+1 more",G Adventures,7 days,"1,999",223920
26,Wildlife,Gold Experience 7 days," Los Angeles, Santa Barbara, Carmel, San Francisco, Modesto, Yosemite National Park, Las Vegas, Grand Canyon National Park, Page, Bryce Canyon National Park, Zion National Park+6 more", 1 to 99 ,"Active Adventure, Family, Private, Group, Fully Guided, Explorer+3 more",Amadeo,7 days,"1,395",167720
27,Explorer,Gold Experience – 6 Days," San Francisco, Modesto, Yosemite National Park, Las Vegas, Grand Canyon National Park, Page, Bryce Canyon National Park, Zion National Park+4 more", 1 to 99 ,"Active Adventure, Family, Private, Group, Fully Guided+2 more",Amadeo,6 days,"1,295",167766
28,Explorer,Best of the West 11 Day National Parks Tour Lodging Las Vegas to San Francisco," Las Vegas, Zion National Park, Bryce Canyon National Park, Arches National Park, Canyonlands National Park, Monument Valley, Antelope Canyon, Grand Canyon National Park, Death Valley National Park, Yosemite National Park, San Francisco+8 more", 7 to 99 ,"Active Adventure, Family, Private, Group, Fully Guided, Hiking & Trekking+3 more",Bindlestiff Tours,11 days,"3,515",198310
29,Explorer,Wild Western USA," Los Angeles, Joshua Tree National Park, Grand Canyon National Park, Las Vegas, Bishop, Yosemite National Park, San Francisco+3 more", 15 to 99 ,"Active Adventure, Group, Fully Guided+1 more",Intrepid Travel,11 days,"2,750",62091
30,In-depth Cultural,Vegas to San Fran," Las Vegas, Bishop, Yosemite National Park, San Francisco ", 15 to 99 ,"Active Adventure, Group, Fully Guided, Explorer+2 more",Intrepid Travel,6 days,"1,028",62086
31,Explorer,Best of Utah & Arizona National Parks," Las Vegas, Zion National Park, Bryce Canyon National Park, Antelope Canyon, Monument Valley, Grand Canyon National Park+2 more", 12 to 90 ,"Group, Fully Guided, Hiking & Trekking+1 more",G Adventures,7 days,"2,549",222588
32,Hiking & Trekking,Hike Alaska: Glaciers and Denali," Anchorage, Seward, Kenai, Denali National Park ", 12 to 90 ,"Active Adventure, Group, Fully Guided, Explorer+2 more",G Adventures,7 days,"2,249",223919
33,Explorer,The Best of the Big Island and Kauai," Kapaa, Waimea Canyon State Park, Hilo, Hawaii Volcanoes National Park, Kailua Kona+1 more", 12 to 99 ,"Active Adventure, Group, Fully Guided+1 more",G Adventures,7 days,"3,499",206697
34,Explorer,Yellowstone and Grand Teton Adventure," Jackson, Grand Teton National Park, Yellowstone National Park ", 15 to 99 ,"Wildlife, Group, Fully Guided+1 more",Intrepid Travel,6 days,"3,672",214221
35,Active Adventure,Vegas to LA: Grand National Parks," Las Vegas, Zion National Park, Bryce Canyon National Park, Monument Valley, Grand Canyon National Park, Joshua Tree National Park, Los Angeles+3 more", 15 to 99 ,"Wildlife, Group, Fully Guided, Hiking & Trekking+2 more",Intrepid Travel,10 days,"3,705",81263
36,Explorer,USA Road Trip — Yosemite Hiking & Cali Surfing," San Francisco, Yosemite National Park, Mariposa, Los Angeles ", 18 to 39 ,"Active Adventure, Group, Fully Guided, Hiking & Trekking+2 more",G Adventures,6 days,"1,199",222536
37,Active Adventure,Western National Parks 7 Day Explorer Lodging," Las Vegas, Zion National Park, Bryce Canyon National Park, Antelope Canyon, Monument Valley, Grand Canyon National Park, Death Valley National Park, Yosemite National Park, San Francisco+5 more", 7 to 99 ,"Family, Private, Group, Fully Guided+1 more",Bindlestiff Tours,7 days,"2,550",198308
38,Active Adventure,Yellowstone / Grand Teton 4 Day / 3 Night Wildlife Adventure," Jackson, Grand Teton National Park, Yellowstone National Park, Cody, Mammoth ", 6 to 99 ,"Family, Photography, Walking Tour, Wildlife, Group, Fully Guided+4 more",BrushBuck Wildlife Tours,4 days,"1,999",125811
39,Active Adventure,"Las Vegas, Sedona & Monument Valley – 5 days"," Los Angeles, Las Vegas, Sedona, Monument Valley, Grand Canyon National Park, Zion National Park, Valley of Fire State Park+2 more", 1 to 99 ,"Family, Wildlife, Private, Group, Partially Guided, Christmas & New Year+3 more",Amadeo,5 days,995,167700
40,Active Adventure,Hiking in Yosemite National Park," San Francisco, Yosemite National Park, Tuolumne ", 15 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,6 days,"2,172",215628
41,Active,Alaska Kenai Adventure 9 Days," Anchorage, Seward, Kenai Fjords National Park, Kenai, Homer, Seldovia ", 15 to 99 ,"Active Adventure, Camping, Mountain Hikes, Wildlife, Group, Fully Guided, Hiking & Trekking+5 more",Infinite Adventures,9 days,"2,270",75741
42,In-depth Cultural,Hawaiian Discovery (11 Days)," Honolulu, Waikiki, Oahu, Kailua Kona, Hawaii Volcanoes National Park, Hilo, Kaanapali, Lahaina, Lihue, Kauai Island+4 more", 5 to 99 ,"Active Adventure, Family, Group, Fully Guided, Historical+2 more",Trafalgar,11 days,"4,195",144908
43,Active Adventure,LA to Vegas Adventure," Santa Monica, Joshua Tree National Park, Grand Canyon National Park, Las Vegas+1 more", 15 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,5 days,"1,076",62085
44,In-depth Cultural,Real LA to San Francisco," Los Angeles, Joshua Tree National Park, Grand Canyon Village, Las Vegas, Sierra Nevada, Yosemite National Park, San Francisco+3 more", 18 to 29 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,11 days,"2,029",168631
45,Active Adventure,USA – Best of WA – North Cascades Olympic Mount Rainier National Parks," Seattle, North Cascades National Park, San Juan Island, Olympic National Park, Mount Rainier National Park+1 more", 18 to 60 ,"Group, Partially Guided",Bucket List Group Travel LLC,8 days,"3,990",210746
46,Explorer,Grand Canyon and More 3 day tour," Las Vegas, Zion National Park, Page, Antelope Canyon, Monument Valley, Grand Canyon National Park+1 more", 5 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Bindlestiff Tours,3 days,685,171176
47,Hiking & Trekking,Georgia History Trail to Nashville," Atlanta, Savannah, Charleston, Asheville, Nashville ", 15 to 99 ,"Food & Culinary, Group, Fully Guided, Coach / Bus, Historical+3 more",Intrepid Travel,7 days,"2,279",223162
48,Explorer,Grand Alaskan Adventure," Anchorage, Talkeetna, Denali National Park, Valdez, Whittier, Prince William Sound+1 more", 5 to 99 ,"Family, Wildlife, Group, Fully Guided+1 more",Cosmos,7 days,"1,979",52323
49,In-depth Cultural,Highlights of the Canyonlands," Las Vegas, Grand Canyon National Park, Monument Valley, Page, Bryce Canyon National Park, Zion National Park+2 more", 5 to 99 ,"Family, Group, Fully Guided, Coach / Bus+2 more",Cosmos,7 days,"1,469",52223
50,Active Adventure,Alaska: Ocean Wildlife to Interior Wilderness Adventure - 9 Days," Anchorage, Palmer, Lake Clark National Park, Seward, Kenai Fjords National Park, Denali National Park, Talkeetna+3 more", 12 to 75 ,"Ice Trekking, Boat, Wildlife, Private, Group, Fully Guided, Kayak & Canoe, Sightseeing+6 more",BrushBuck Wildlife Tours,9 days,"6,599",125807
51,Explorer,Yellowstone Rocky Mountain and California Desert 11 DAY Explorer Camping," Las Vegas, Bryce Canyon National Park, Salt Lake City, Grand Teton National Park, Yellowstone National Park, Death Valley National Park, Yosemite National Park, San Francisco+5 more", 7 to 99 ,"Active Adventure, Family, Private, Group, Fully Guided+2 more",Bindlestiff Tours,11 days,"2,675",198304
52,In-depth Cultural,"New York City, Niagara Falls & Washington DC with Extended Stay in New York City"," New York City, Corning, Niagara Falls (USA), Philadelphia, Washington DC ", 5 to 99 ,"Family, Group, Fully Guided, Coach / Bus+2 more",Cosmos,10 days,"2,142",84447
53,Explorer,Best of the Pacific Northwest," Seattle, Olympic National Park, Mount Rainier National Park, Portland, Bend, Medford, Santa Rosa, San Francisco+3 more", 15 to 99 ,"Group, Fully Guided, Hiking & Trekking+1 more",Intrepid Travel,11 days,"4,199",224141
54,Explorer,Oahu and Maui Adventure," Waikiki, Kahului ", 12 to 99 ,"Group, Fully Guided",G Adventures,8 days,"3,799",206698
55,Explorer,Five Epic National Parks (9 Days)," Jackson, Grand Teton National Park, West Yellowstone, Yellowstone National Park, Salt Lake City, Bryce Canyon National Park, Zion National Park, Williams, Grand Canyon National Park, Las Vegas+7 more", 5 to 99 ,"Active Adventure, Family, Group, Fully Guided+1 more",Trafalgar,9 days,"3,235",119105
56,Explorer,Coastal Maine," Portland, Boothbay Harbor, Acadia National Park, Bangor ", 15 to 99 ,"Group, Fully Guided, Hiking & Trekking+1 more",Intrepid Travel,6 days,"2,826",223848
57,In-depth Cultural,"San Fran to Vegas: Parks, Canyons, Valleys"," San Francisco, Lake Tahoe, Yosemite National Park, Lone Pine, Death Valley National Park, Las Vegas+2 more", 15 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,9 days,"4,525",81262
58,Bicycle,Cycle Maine & Acadia National Park," Portland, Rockland, Bucksport, Bar Harbor, Acadia National Park ", 15 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,6 days,"2,831",213784
59,Explorer,"Enchanting Canyonlands (Classic, 7 Days)"," Phoenix, Scottsdale, Sedona, Monument Valley, Grand Canyon National Park, Page, Bryce Canyon National Park, Zion National Park, Salt Lake City+3 more", 5 to 99 ,"Active Adventure, Family, Private, Group, Fully Guided, Historical+3 more",Insight Vacations,7 days,"2,800",202641
60,Explorer,Western National Parks 7 Day Explorer Camping," Las Vegas, Zion National Park, Bryce Canyon National Park, Antelope Canyon, Monument Valley, Grand Canyon National Park, Death Valley National Park, Yosemite National Park, San Francisco+5 more", 7 to 99 ,"Active Adventure, Family, Camping, Private, Group, Fully Guided+3 more",Bindlestiff Tours,7 days,"1,835",198300
61,Explorer,Best of Montana," Bozeman, Helena, Great Falls, Glacier National Park, Whitefish, Missoula ", 15 to 99 ,"Group, Fully Guided, Hiking & Trekking+1 more",Intrepid Travel,6 days,"2,314",223191
62,Active Adventure,Discover American Canyonlands National Geographic Journeys," Las Vegas, Zion National Park, Bryce Canyon National Park, Page, Antelope Canyon, Grand Canyon National Park, Flagstaff, Seligman+4 more", 12 to 99 ,"Mountain Hikes, Group, Fully Guided, Explorer, Hiking & Trekking+3 more",National Geographic Journeys with G Adventures,8 days,"2,932",93681
63,Explorer,"Utah, Nevada & California"," Las Vegas, Zion National Park, Monument Valley, Moab, Bryce Canyon National Park, Bishop, Yosemite National Park, San Francisco+4 more", 15 to 99 ,"Active Adventure, Group, Fully Guided+1 more",Intrepid Travel,14 days,"2,801",62117
64,Wildlife,"National Park Wonders (Start Jackson, 9 Days)"," Jackson, Grand Teton National Park, Yellowstone National Park, Cody, Sheridan, Deadwood, Rapid City, Mount Rushmore National Memorial+3 more", 5 to 99 ,"Family, Group, Fully Guided, Coach / Bus+2 more",Trafalgar,9 days,"3,268",82331
65,Explorer,Portland to San Francisco Discovery," Portland, Bend, Medford, Santa Rosa, San Francisco ", 15 to 99 ,"Food & Culinary, Group, Fully Guided+1 more",Intrepid Travel,6 days,"1,912",222794
66,In-depth Cultural,"New York City, Niagara Falls & Washington DC"," New York City, Corning, Niagara Falls (USA), Philadelphia, Washington DC ", 5 to 99 ,"Family, Group, Fully Guided, Coach / Bus+2 more",Cosmos,8 days,"1,751",52216
67,In-depth Cultural,Northern California (8 Days)," San Francisco, Napa, Sacramento, Lake Tahoe, Yosemite National Park, Salinas, Monterey, Carmel+2 more", 5 to 99 ,"Family, Private, Group, Fully Guided, Coach / Bus+2 more",Trafalgar,8 days,"2,981",82345
68,In-depth Cultural,Best of the Canyonlands (7 Days)," Denver, Vail, Moab, Arches National Park, Mesa Verde National Park, Monument Valley, Grand Canyon National Park, Las Vegas+3 more", 5 to 99 ,"Active Adventure, Family, Group, Fully Guided, Explorer+2 more",Trafalgar,7 days,"2,410",90559
69,Active Adventure,GIVE - Hawaii Forest Conservation & Responsible Tourism Excursion," Kailua Kona, Waipio ", 15 to 24 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Growth International Volunteer Excursions,9 days,"2,695",217253
70,In-depth Cultural,Natural Highlights of California National Geographic Journeys," Las Vegas, Death Valley National Park, Sequoia National Park, Kings Canyon National Park, Yosemite National Park, San Francisco+3 more", 12 to 99 ,"Group, Fully Guided, Explorer+1 more",National Geographic Journeys with G Adventures,9 days,"3,399",93679
71,Hiking & Trekking,USA Road Trip — Joshua Tree & the Southwest Parks," Los Angeles, Joshua Tree National Park, Grand Canyon National Park, Page, Bryce Canyon National Park, Zion National Park, Las Vegas+3 more", 18 to 39 ,"Group, Fully Guided, Explorer+1 more",G Adventures,8 days,"1,599",222591
72,Hiking & Trekking,South Dakota to Yellowstone Parks Explorer," Rapid City, Sheridan, Yellowstone National Park, Bozeman ", 15 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,6 days,"2,479",223157
73,Active Adventure,Highlights of the West Adventure 7D/6N," Los Angeles, Santa Barbara, Carmel, San Francisco, Modesto, Yosemite National Park, Las Vegas, Grand Canyon National Park, Page, Bryce Canyon National Park, Zion National Park+6 more", 10 to 99 ,"Family, Private, Independent, Partially Guided, Explorer+3 more",Bamba Travel,7 days,"1,876",111356
74,Explorer,Western Triangle - Los Angeles Airport," Los Angeles, Las Vegas, Mammoth Lakes, Yosemite National Park, Carmel, Monterey, San Francisco+1 more", 12 to 99 ,"Group, Fully Guided",ATP - AlliedTPro,9 days,"1,322",214301
75,Explorer,Alaska Family Journey: Wilderness Explorer," Anchorage, Seward, Talkeetna, Denali National Park ", 7 to 90 ,"Family, Wildlife, Group, Fully Guided+1 more",G Adventures,9 days,"4,334",159619
76,Explorer,"Western Frontiers (End Denver, 10 Days) (including Badlands National Park)"," Las Vegas, Zion National Park, Bryce Canyon National Park, Salt Lake City, Jackson, Grand Teton National Park, Yellowstone National Park, Cody, Big Sky, Billings, Rapid City, Badlands National Park, Denver+9 more", 5 to 99 ,"Family, Wildlife & Nature Photography, Group, Fully Guided, Hiking & Trekking+4 more",Trafalgar,10 days,"3,544",241179
77,Explorer,Western Deserts – 3 days," Las Vegas, Grand Canyon National Park, Page, Bryce Canyon National Park, Zion National Park+1 more", 1 to 99 ,"Active Adventure, Family, Cultural Photography, Private, Group, Fully Guided+4 more",Amadeo,3 days,590,167777
78,Explorer,Private Tour- 7 day Southwest National Parks Grand Canyon Tour," Las Vegas, Zion National Park, Bryce Canyon National Park, Arches National Park, Canyonlands National Park, Monument Valley, Antelope Canyon, Grand Canyon National Park+5 more", 5 to 99 ,"Active Adventure, Family, Private, Fully Guided, Hiking & Trekking+2 more",Bindlestiff Tours,7 days,"2,460",217934
79,Explorer,Private Tour -7 Day Southwest National Parks Grand Canyon Camping," Las Vegas, Zion National Park, Bryce Canyon National Park, Canyonlands National Park, Arches National Park, Monument Valley, Antelope Canyon, Page, Grand Canyon National Park+6 more", 7 to 99 ,"Active Adventure, Family, Camping, Private, Fully Guided, Hiking & Trekking+3 more",Bindlestiff Tours,7 days,"1,695",217933
80,Hiking & Trekking,Walking in California's Sierra Nevada," San Francisco, Yosemite National Park, Mammoth Lakes, Lake Tahoe ", 15 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,5 days,"1,606",219495
81,In-depth Cultural,"New York , Chicago , Miami"," New York City, Niagara Falls (USA), Chicago, Everglades National Park, Miami ", 6 to 80 ,"Family, Private, Partially Guided, Explorer, Christmas & New Year+3 more",Indogusto,8 days,"2,799",166382
82,Bicycle,Cycle Sonoma & the Napa Valley," San Francisco, Sonoma, Napa, Santa Rosa, Healdsburg ", 15 to 99 ,"Group, Fully Guided, Explorer, Wine tasting+2 more",Intrepid Travel,6 days,"3,265",210620
83,Explorer,Hiking in Moab," Salt Lake City, Moab, Arches National Park, Canyonlands National Park ", 15 to 99 ,"Group, Fully Guided, Hiking & Trekking+1 more",Intrepid Travel,5 days,"3,225",214222
84,Explorer,National Parks Family Journey: Yellowstone and Grand Teton," Jackson, Grand Teton National Park, Yellowstone National Park ", 7 to 90 ,"Family, Group, Fully Guided, Hiking & Trekking+2 more",G Adventures,8 days,"3,144",159620
85,Wildlife,Alaska Journey National Geographic Journeys," Anchorage, Homer, Seward, Denali National Park ", 12 to 99 ,"Group, Fully Guided, Explorer+1 more",National Geographic Journeys with G Adventures,10 days,"3,909",93677
86,Active Adventure,National Parks of Colorado," Denver, Colorado Springs, Great Sand Dunes National Park, Durango, Mesa Verde National Park, Black Canyon of the Gunnison National Park, Grand Junction, Glenwood Springs, Rocky Mountain National Park+5 more", 8 to 90 ,"Family, Group, Fully Guided+1 more",Southwest Adventure Tours,8 days,"3,199",224707
87,In-depth Cultural,Hawaii Four Island Adventure (13 Days)," Honolulu, Waikiki, Pearl Harbor, Kailua Kona, Hawaii Volcanoes National Park, Hilo, Kahului, Lahaina, Lihue, Kauai Island, Waimea Canyon State Park+6 more", 5 to 99 ,"Beach, Family, Private, Group, Fully Guided, Historical+3 more",Trafalgar,13 days,"4,729",202523
88,Active Adventure,Incredible Canyons of the West Experience 3D/2N (from Las Vegas)," Las Vegas, Grand Canyon National Park, Page, Bryce Canyon National Park, Zion National Park+1 more", 10 to 99 ,"Family, Private, Group, Fully Guided+1 more",Bamba Travel,3 days,837,92353
89,Active Adventure,Alaska Denali Expedition - 12 Days," Anchorage, Denali National Park, Wrangell St. Elias National Park, Valdez ", 16 to 99 ,"Camping, Wildlife, Group, Fully Guided+1 more",Infinite Adventures,12 days,"2,570",75742
90,,"Grand Canyon, Antelope Canyon, Horseshoe Bend and Lake Powell Small Groups Overnight Tour"," Las Vegas, Grand Canyon National Park, Page, Antelope Canyon ", 5 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing+2 more",Bindlestiff Tours,2 days,265,171173
91,Explorer,Las Vegas and Western Deserts – 4 days," Los Angeles, Las Vegas, Grand Canyon National Park, Page, Kanab, Zion National Park+1 more", 1 to 99 ,"Family, Wildlife, Private, Group, Fully Guided+2 more",Amadeo,4 days,845,167575
92,Explorer,Kenai Fjords Adventure," Anchorage, Seward, Kenai Fjords National Park, Girdwood, Alyeska ", 6 to 99 ,"Active Adventure, Family, Group, Fully Guided+1 more",Active Adventures,6 days,"4,999",214022
93,Hiking & Trekking,Yellowstone Adventure," Bozeman, Yellowstone National Park ", 6 to 99 ,"Family, Group, Fully Guided, Explorer+2 more",Active Adventures,6 days,"3,799",206503
94,Hiking & Trekking,"Yellowstone, Big Sky & Paradise Valley Adventure"," Bozeman, Big Sky, Yellowstone National Park, Gardiner ", 6 to 99 ,"Active Adventure, Family, Group, Fully Guided, Explorer+2 more",Active Adventures,6 days,"3,799",221372
95,Explorer,Yellowstone & Grand Teton Adventure," Jackson, Grand Teton National Park, Yellowstone National Park ", 6 to 99 ,"Family, Bicycle, Group, Fully Guided, Kayak & Canoe, Hiking & Trekking+3 more",Active Adventures,6 days,"4,999",206504
96,Explorer,"Best of California (Classic, 10 Days)"," San Diego, Los Angeles, Santa Barbara, Paso Robles, Yosemite National Park, San Francisco+1 more", 5 to 99 ,"Family, Group, Fully Guided, Coach / Bus+2 more",Insight Vacations,10 days,"4,127",218940
97,Overland Truck,Alaska Adventure - 20 Days," Anchorage, Denali National Park, Wrangell St. Elias National Park, Valdez, Seward, Homer+2 more", 15 to 99 ,"Active Adventure, Mountain Hikes, Wildlife, Group, Fully Guided, Hiking & Trekking+4 more",Infinite Adventures,20 days,"4,280",75725
98,Explorer,Wild West," San Francisco, Yosemite National Park, Las Vegas, Los Angeles ", 1 to 99 ,"Active Adventure, Family, Wildlife, Private, Group, Partially Guided, Christmas & New Year+5 more",Amadeo,4 days,725,167756
99,Explorer,Spectacular Alaska," Anchorage, Valdez, Prince William Sound, Delta Junction, Fairbanks, Denali National Park, Big Lake, Seward, Kenai Fjords National Park+4 more", 5 to 80 ,"Active Adventure, Family, Wildlife, Group, Fully Guided+3 more",Globus,10 days,"3,948",117870
100,Explorer,Rhythms of the Road (including Hammond)," Chicago, St. Louis, Nashville, Memphis, Hammond, Lafayette, New Orleans ", 5 to 99 ,"Family, Private, Group, Fully Guided, Coach / Bus+2 more",Cosmos,10 days,"2,009",52245
101,Wildlife,America's National Parks," Rapid City, Mount Rushmore National Memorial, Deadwood, Sheridan, Little Bighorn Battlefield National Monument, Cody, Yellowstone National Park, Grand Teton National Park, Jackson, Salt Lake City+6 more", 5 to 80 ,"Family, Group, Fully Guided+1 more",Globus,10 days,"3,649",83734
102,In-depth Cultural,Rhythms of the South (11 Days)," Nashville, Memphis, Natchez, New Orleans ", 5 to 80 ,"Family, Private, Group, Fully Guided, Coach / Bus+2 more",Costsaver,11 days,"1,995",100013
103,Active Adventure,USA – Hawaii – Kauai & Maui Islands Adventure," Kauai Island, Maui ", 18 to 55 ,Christmas & New Year,Bucket List Group Travel LLC,7 days,"3,990",220589
