,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
23,In-depth Cultural,6 Day Sri Lanka Itinerary - Private Tour," Colombo, Pinnawala, Kandy, Nuwara Eliya, Horton Plains National Park, Ella, Udawalawe National Park, Mirissa, Bentota+3 more", 18 to 90 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Holiday Lanka Tours,6 days,303,183353
24,In-depth Cultural,Simply Sri Lanka," Negombo, Dambulla, Sigiriya, Kandy, Unawatuna, Colombo ", 15 to 99 ,"Active Adventure, Group, Fully Guided, Explorer, Christmas & New Year+3 more",Intrepid Travel,8 days,736,92261
25,Active Adventure,Solo Holidays to Sri Lanka - Private Tour," Colombo, Pinnawala, Kandy, Nuwara Eliya, Ella, Yala, Mirissa, Galle, Bentota ", 18 to 80 ,"Private, Partially Guided, Christmas & New Year+1 more",Holiday Lanka Tours,5 days,821,224955
26,In-depth Cultural,Sri Lanka Itinerary 7 Days - Private Tour," Colombo, Pinnawala, Kandy, Nuwara Eliya, Ella, Yala National Park, Mirissa, Galle ", 12 to 99 ,"Private, Partially Guided, Sightseeing, Christmas & New Year+2 more",Holiday Lanka Tours,7 days,330,183354
27,Explorer,Sri Lanka 4 Nights 5 Days Itinerary," Colombo, Pinnawala, Kandy, Nuwara Eliya, Yala, Mirissa, Galle ", 1 to 99 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Holiday Lanka Tours,5 days,389,199989
28,Explorer,Sri Lanka 09 Days Tour Package - Private Tour," Colombo, Negombo, Pinnawala, Dambulla, Sigiriya, Polonnaruwa, Anuradhapura, Matale, Kandy, Nuwara Eliya, Ella, Mirissa, Galle, Bentota+7 more", 1 to 99 ,"Family, Private, Partially Guided, Historical, Christmas & New Year+3 more",Holiday Lanka Tours,9 days,471,189202
29,In-depth Cultural,8 Day Itinerary Sri Lanka - Private Tour," Colombo, Pinnawala, Dambulla, Sigiriya, Polonnaruwa, Anuradhapura, Kandy, Nuwara Eliya, Ella, Mirissa+3 more", 18 to 99 ,"Private, Partially Guided, Sightseeing, Christmas & New Year+2 more",Holiday Lanka Tours,8 days,413,183355
30,Explorer,Family Tour Of  Sri Lanka," Negombo, Kurunegala, Dambulla, Sigiriya, Polonnaruwa, Mahiyanganaya, Kandy, Nuwara Eliya, Ella, Yala National Park, Hambantota, Mirissa, Galle, Bentota, Colombo+8 more", 1 to 75 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",BH Lanka Tours ,11 days,960,169151
31,Explorer,Sri Lanka 9 Days Trip Package," Colombo, Pinnawala, Kandy, Nuwara Eliya, Tissamaharama, Tangalle, Mirissa, Galle, Bentota+1 more", 1 to 99 ,"Boat, Active Adventure, Family, Private, Partially Guided, Christmas & New Year+3 more",Holiday Lanka Tours,9 days,413,200215
32,In-depth Cultural,Sri Lanka 8 Days Itinerary - Private Tour," Colombo, Pinnawala, Dambulla, Sigiriya, Matale, Kandy, Nuwara Eliya, Bentota ", 1 to 99 ,"Family, Private, Partially Guided, Sightseeing, Christmas & New Year+3 more",Holiday Lanka Tours,8 days,364,198384
33,Explorer,7 Days In Sri Lanka - Private Tour," Colombo, Negombo, Pinnawala, Kandy, Nuwara Eliya, Mirissa, Galle ", 1 to 99 ,"Family, Private, Partially Guided, Sightseeing, Christmas & New Year+3 more",Holiday Lanka Tours,7 days,305,189200
34,Explorer,Sri Lanka Tour Package For 7 Days - Private Tour," Colombo, Sigiriya, Kaudulla National Park, Dambulla, Kandy, Pinnawala, Nuwara Eliya, Kitulgala+2 more", 1 to 99 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Holiday Lanka Tours,7 days,305,200884
35,Explorer,Classic Sri Lanka," Negombo, Kandy, Habarana, Anuradhapura, Colombo ", 15 to 99 ,"Active Adventure, Group, Fully Guided, In-depth Cultural, Christmas & New Year+3 more",Intrepid Travel,8 days,1.305,62119
36,Wildlife,"Sri Lanka uncovered with Wild Life, Nature, Adventure and Culture"," Negombo, Wilpattu National Park, Anuradhapura, Polonnaruwa, Sigiriya, Dambulla, Knuckles Forest Reserve, Kandy, Adam's Peak/ Sri Pada, Nuwara Eliya, Ella, Horton Plains National Park, Yala National Park, Mirissa, Galle+9 more", 18 to 60 ,"Safari, Private, Group, Fully Guided, Christmas & New Year+2 more",Sunrise Sri Lanka Travels and Tours,16 days,1.215,147670
37,In-depth Cultural,SRI LANKA- GLAMOUR SRI LANKA - 10 DAYS 09 NIGHTS TOUR," Negombo, Colombo, Habarana, Kandy, Nuwara Eliya, Ella, Tissamaharama, Beruwala ", 12 to 65 ,"Private, Group, Fully Guided, Explorer+2 more",Explore Vacations PVT Ltd,10 days,1.853,173112
38,In-depth Cultural,Exclusive 10-Day Tour Of Sri Lanka," Negombo, Wilpattu National Park, Anuradhapura, Sigiriya, Kandy, Nuwara Eliya, Ella, Udawalawe National Park, Mirissa, Galle, Bentota, Colombo+6 more", 20 to 75 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",BH Lanka Tours ,10 days,1.109,197103
39,Explorer,Sri Lanka 11 Days/10 Nights Tour Itinerary - Private Tour," Colombo, Pinnawala, Sigiriya, Dambulla, Matale, Kandy, Nuwara Eliya, Ella, Yala National Park, Mirissa, Galle, Hikkaduwa, Bentota+5 more", 1 to 99 ,"Family, Private, Partially Guided, Sightseeing, Christmas & New Year+3 more",Holiday Lanka Tours,11 days,493,194946
40,In-depth Cultural,Sri Lanka 7 Days Itinerary - Private Tour," Colombo, Dambulla, Sigiriya, Polonnaruwa, Kandy, Ella, Horton Plains National Park, Udawalawe National Park+2 more", 1 to 99 ,"Family, Private, Partially Guided, Sightseeing, Christmas & New Year+3 more",Holiday Lanka Tours,7 days,397,198383
41,In-depth Cultural,Sri Lanka 6 Days Itinerary - Private Tour," Colombo, Pinnawala, Dambulla, Sigiriya, Polonnaruwa, Matale, Kandy, Nuwara Eliya ", 1 to 100 ,"Family, Private, Partially Guided, Sightseeing, Christmas & New Year+3 more",Holiday Lanka Tours,6 days,303,192727
42,"Health, Spa & Wellness",Ayurveda Sri Lanka - 5 Days," Colombo, Negombo, Yapahuwa, Sigiriya ", 15 to 90 ,"Yoga, Private, Partially Guided, Christmas & New Year+2 more",Stelaran Holidays (Pvt) Ltd,5 days,1.090,150118
43,Explorer,Semi-Luxury Travel Sri Lanka," Negombo, Anuradhapura, Trincomalee, Pasikuda, Polonnaruwa, Sigiriya, Dambulla, Mahiyanganaya, Kandy, Nuwara Eliya, Ella, Yala National Park, Hambantota, Mirissa, Galle, Bentota, Colombo+10 more", 1 to 77 ,"Family, Private, Group, Fully Guided, In-depth Cultural, Christmas & New Year+3 more",BH Lanka Tours ,14 days,1.499,114569
44,In-depth Cultural,ROOTS OF SRI LANKA - 07 Days," Negombo, Colombo, Pinnawala, Sigiriya, Dambulla, Habarana, Polonnaruwa, Kandy, Nuwara Eliya, Yala National Park, Galle+3 more", 5 to 85 ,"Family, Private, Partially Guided, Historical, Christmas & New Year+3 more",Serendib Roots,7 days,899,190014
45,In-depth Cultural,Sri Lanka Package For 5 Days - Private Tour," Colombo, Negombo, Pinnawala, Dambulla, Sigiriya, Kandy, Nuwara Eliya, Kitulgala ", 1 to 100 ,"Family, Private, Partially Guided, Sightseeing, Christmas & New Year+3 more",Holiday Lanka Tours,5 days,243,192596
46,Hiking & Trekking,Knuckles Trekking - 8 Days," Colombo, Negombo, Kandy, Meemure, Nuwara Eliya, Hatton ", 18 to 90 ,"Active Adventure, Mountain Hikes, Private, Partially Guided, Christmas & New Year+3 more",Stelaran Holidays (Pvt) Ltd,8 days,1.090,143713
47,In-depth Cultural,Sri Lankan in Style - 5 Days," Colombo, Negombo, Sigiriya, Nuwara Eliya ", 5 to 90 ,"Family, Private, Partially Guided, Explorer, Sightseeing, Christmas & New Year+4 more",Stelaran Holidays (Pvt) Ltd,5 days,727,140400
48,Explorer,Sri Lanka 10 Days Package - Private Tour," Colombo, Pinnawala, Kandy, Nuwara Eliya, Ella, Yala National Park, Mirissa, Galle, Bentota+1 more", 1 to 99 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Holiday Lanka Tours,10 days,479,189203
49,In-depth Cultural,Sri Lanka Itinerary 9 Days - Private Tour," Colombo, Bentota, Hikkaduwa, Galle, Mirissa, Tangalle, Negombo ", 1 to 99 ,"Beach, Family, Private, Partially Guided, Christmas & New Year+2 more",Holiday Lanka Tours,9 days,413,193736
50,In-depth Cultural,Sri Lanka 5 Days Itinerary - Private Tour," Colombo, Pinnawala, Dambulla, Sigiriya, Kandy ", 1 to 90 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Holiday Lanka Tours,5 days,227,202453
51,In-depth Cultural,5 Days Tour Package Sri Lanka - Private Tour," Colombo, Pinnawala, Kandy, Nuwara Eliya, Horton Plains National Park ", 1 to 90 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Holiday Lanka Tours,5 days,227,199992
52,In-depth Cultural,Sri Lanka Itinerary 8 Days - Private Tour," Colombo, Pinnawala, Sigiriya, Dambulla, Matale, Kandy, Knuckles Forest Reserve, Nuwara Eliya, Horton Plains National Park, Udawalawe National Park+3 more", 18 to 99 ,"Private, Partially Guided, Sightseeing, Christmas & New Year+2 more",Holiday Lanka Tours,8 days,364,183357
53,Food & Culinary,Sri Lanka Real Food Adventure," Negombo, Dambulla, Kandy, Bandarawela, Yala National Park, Udawalawe National Park, Mirissa, Colombo+3 more", 15 to 99 ,"Group, Fully Guided, Explorer, Christmas & New Year+2 more",Intrepid Travel,12 days,2.100,63622
54,In-depth Cultural,Semi-Luxury Tour Of Sri Lanka," Negombo, Kurunegala, Dambulla, Sigiriya, Polonnaruwa, Kandy, Nuwara Eliya, Ella, Yala, Hambantota, Galle, Bentota, Colombo+5 more", 1 to 77 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",BH Lanka Tours ,12 days,1.387,197354
55,In-depth Cultural,The Pick of Sri Lanka - Free Upgrade to Private Tour Available," Colombo, Pinnawala, Dambulla, Sigiriya, Polonnaruwa, Matale, Peradeniya, Kandy, Nuwara Eliya, Tissamaharama, Galle, Kosgoda, Kalutara+5 more", 10 to 99 ,"Family, Group, Partially Guided+1 more",Aitken Spence Travel,9 days,957,103123
56,In-depth Cultural,Sri Lanka Northeast Explorer - 12 Days," Colombo, Negombo, Anuradhapura, Jaffna, Trincomalee, Dambulla, Sigiriya, Kandy, Udawalawe National Park, Polonnaruwa, Nuwara Eliya+3 more", 18 to 70 ,"Active Adventure, Group, Fully Guided, Explorer, Christmas & New Year+3 more",On The Go Tours,12 days,2.195,90055
57,Active Adventure,Sri Lanka's Bestseller - Wonders of Sri Lanka," Negombo, Pinnawala, Dambulla, Sigiriya, Kandy, Nuwara Eliya, Bentota, Galle, Colombo+1 more", 18 to 75 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Swastik India Journeys,6 days,452,176045
58,Explorer,Dream Holiday In Sri Lanka," Negombo, Kurunegala, Dambulla, Sigiriya, Polonnaruwa, Pasikuda, Batticaloa, Mahiyanganaya, Kandy, Nuwara Eliya, Ella, Yala National Park, Mirissa, Galle, Hikkaduwa, Bentota, Colombo+10 more", 2 to 75 ,"Beach, Family, Private, Group, Fully Guided, Christmas & New Year+3 more",BH Lanka Tours ,12 days,1.356,114671
59,Explorer,Best Touch Of Sri Lanka," Negombo, Anuradhapura, Dambulla, Kandy, Nuwara Eliya, Ella, Yala, Mirissa, Bentota, Colombo+1 more", 2 to 74 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Capital Lanka Tours,10 days,937,144528
60,Ocean Cruise,East Coast Sailing Holiday Sri Lanka | 7 Days," Colombo, Trincomalee, Pigeon Island, Kuchchaveli, Nilaveli, Pasikuda ", 3 to 99 ,"Family, Group, Partially Guided, Christmas & New Year+2 more",Kingfisher Tours Srilanka,7 days,704,191096
61,Explorer,Sri Lanka Family Holiday," Negombo, Dambulla, Kandy, Bandarawela, Udawalawe National Park, Mirissa, Colombo ", 5 to 99 ,"Family, Group, Fully Guided, Christmas & New Year+2 more",Intrepid Travel,12 days,1.449,63403
62,Explorer,Arugam Bay surf," Colombo, Ahungalla, Ambalangoda, Galle, Unawatuna, Tissamaharama, Yala National Park, Bundala National Park, Arugam Bay, Panama, Kumana National Park+5 more", 5 to 99 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Stelaran Holidays (Pvt) Ltd,10 days,1.817,189698
63,In-depth Cultural,Sri Lanka for Families - 10  Days," Colombo, Negombo, Kegalla, Peradeniya, Kandy, Ramboda, Nuwara Eliya, Horton Plains National Park, Ambewela, Kitulgala, Bentota, Hikkaduwa, Ahungalla+6 more", 5 to 90 ,"Family, Safari, Private, Fully Guided, Explorer, Christmas & New Year+3 more",Stelaran Holidays (Pvt) Ltd,10 days,1.454,140509
64,In-depth Cultural,Sri Lanka Luxury Private Tour 2023," Negombo, Anuradhapura, Polonnaruwa, Sigiriya, Dambulla, Kandy, Pinnawala, Nuwara Eliya, Horton Plains National Park, Ella, Yala National Park, Mirissa, Galle+6 more", 1 to 99 ,"Family, Safari, Wildlife, Elephant, Private, Fully Guided, Christmas & New Year+4 more",Sri Holidays,9 days,1.136,171723
65,In-depth Cultural,Sri Lanka All-Island Discovery," Negombo, Anuradhapura, Jaffna, Trincomalee, Kalkudah, Polonnaruwa, Sigiriya, Dambulla, Kandy, Nuwara Eliya, Ella, Udawalawe National Park, Tissamaharama, Tangalle, Mirissa, Galle, Bentota, Colombo+11 more", 10 to 65 ,"Family, Wildlife, Private, Group, Fully Guided, Christmas & New Year+3 more",BH Lanka Tours ,14 days,1.482,114560
66,In-depth Cultural,Luxury Private Tour Of Sri Lanka," Negombo, Wilpattu National Park, Anuradhapura, Sigiriya, Polonnaruwa, Mahiyanganaya, Kandy, Kitulgala, Nuwara Eliya, Ella, Udawalawe National Park, Tangalle, Mirissa, Galle, Bentota, Colombo+11 more", 18 to 50 ,"Active Adventure, Private, Fully Guided, Christmas & New Year+2 more",BH Lanka Tours ,12 days,1.722,177964
67,Safari,Safari in Sri Lanka - 9 days," Colombo, Negombo, Wilpattu National Park, Anuradhapura, Dambulla, Wasgamuwa National Park, Mahiyanganaya, Gal Oya National Park, Udawalawe National Park, Yala National Park, Galle+6 more", 18 to 70 ,"Active Adventure, Wildlife, Group, Fully Guided+1 more",On The Go Tours,9 days,2.065,99907
68,Bicycle,Cycle Sri Lanka," Negombo, Chilaw, Anuradhapura, Ritigala Strict Natural Reserve, Polonnaruwa, Dambulla, Kandy, Hatton, Tissamaharama, Yala National Park, Mirissa, Galle, Colombo+8 more", 14 to 99 ,"Active Adventure, Group, Fully Guided, Christmas & New Year+2 more",Intrepid Travel,14 days,2.245,92884
69,Active Adventure,6 Days and 5 Nights Tour in Sri Lanka - Free Upgrade to Private Tour," Colombo, Sigiriya, Dambulla, Kandy, Negombo, Nuwara Eliya, Yala National Park, Tissamaharama, Mirissa, Galle+3 more", 8 to 75 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Beauty Lanka Travels,6 days,690,111170
70,In-depth Cultural,Dream Honeymoon In Sri Lanka," Negombo, Kurunegala, Dambulla, Sigiriya, Mahiyanganaya, Kandy, Nuwara Eliya, Ella, Tangalle, Mirissa, Galle, Bentota, Colombo+5 more", 19 to 55 ,"Private, Honeymoon, Fully Guided, Christmas & New Year+2 more",BH Lanka Tours ,13 days,1.545,153741
71,Active Adventure,Two Weeks In Sri Lanka," Negombo, Chilaw, Anuradhapura, Trincomalee, Polonnaruwa, Sigiriya, Dambulla, Kandy, Nuwara Eliya, Ella, Yala, Hambantota, Mirissa, Galle, Bentota, Colombo+9 more", 10 to 75 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",BH Lanka Tours ,14 days,1.345,175492
72,In-depth Cultural,Explore historical Sri Lanka Free Upgrade to private Tour r ( Special discount if the booking is more than 2)," Colombo, Dambulla, Sigiriya, Kandy, Nuwara Eliya, Ella, Tissamaharama, Mirissa ", 1 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Christmas & New Year+3 more",Mango Vacations,8 days,545,165729
73,In-depth Cultural,Sri Lanka lover Train Trail - 11 Days," Colombo, Negombo, Pinnawala, Kandy, Nuwara Eliya, Ella, Yala National Park, Mirissa, Ambalangoda+2 more", 5 to 90 ,"Family, Safari, Private, Fully Guided, Explorer, Sightseeing, Christmas & New Year+4 more",Stelaran Holidays (Pvt) Ltd,11 days,1.317,141328
74,Active Adventure,Life is an Adventure - 11 Days," Colombo, Kandy, Pinnawala, Peradeniya, Knuckles Forest Reserve, Meemure, Kitulgala, Nuwara Eliya, Ambewela, Horton Plains National Park, Haputale, Ella+6 more", 10 to 90 ,"Family, Private, Partially Guided, Explorer, Christmas & New Year+3 more",Stelaran Holidays (Pvt) Ltd,11 days,1.908,166483
75,In-depth Cultural,Ayurveda Sri Lanka -11 Days," Colombo, Negombo, Anuradhapura ", 18 to 80 ,"Health, Spa & Wellness, Private, Partially Guided, Christmas & New Year+3 more",Stelaran Holidays (Pvt) Ltd,11 days,2.035,138440
76,In-depth Cultural,Dream Tour Of Sri Lanka," Colombo, Bentota, Galle, Ahangama, Sinharaja Forest Reserve, Udawalawe National Park, Ella, Nuwara Eliya, Kandy, Sigiriya, Wilpattu National Park, Kalpitiya+7 more", 2 to 80 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",BH Lanka Tours ,14 days,1.417,215605
77,In-depth Cultural,The Sri Lankan Experience - 7 Days," Colombo, Kandy, Pinnawala, Peradeniya, Nuwara Eliya, Horton Plains National Park, Kitulgala, Bentota+3 more", 5 to 90 ,"Family, Private, Fully Guided, Explorer, Sightseeing, Christmas & New Year+4 more",Stelaran Holidays (Pvt) Ltd,7 days,1.045,140471
78,In-depth Cultural,Sri Lanka 13 Days Tour Package - Private Tour," Colombo, Negombo, Pinnawala, Dambulla, Sigiriya, Kandy, Nuwara Eliya, Ella, Yala National Park, Mirissa, Galle, Hikkaduwa, Bentota+5 more", 1 to 100 ,"Family, Private, Partially Guided, Sightseeing, Christmas & New Year+3 more",Holiday Lanka Tours,13 days,584,191523
79,In-depth Cultural,"Sri Lanka budget tours  (8 Days, 7 Nights) with private driver, vehicle and H/B accommodations"," Colombo, Sigiriya, Polonnaruwa, Habarana, Kandy, Peradeniya, Nuwara Eliya, Ella, Tissamaharama, Tangalle, Mirissa, Galle+4 more", 1 to 99 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Lanka Safe Tours,8 days,590,177414
80,Active Adventure,Sri Lanka Singles Holidays - Private Tour," Colombo, Pinnawala, Dambulla, Sigiriya, Polonnaruwa, Matale, Kandy, Nuwara Eliya, Horton Plains National Park, Ella, Udawalawe National Park, Tangalle, Mirissa, Galle, Bentota+7 more", 18 to 99 ,"Private, Partially Guided, Christmas & New Year+1 more",Holiday Lanka Tours,12 days,1.492,224954
81,Explorer,Sri Lanka 14 Days Tour - Private Tour," Colombo, Pinnawala, Dambulla, Sigiriya, Polonnaruwa, Anuradhapura, Kandy, Nuwara Eliya, Ella, Udawalawe National Park, Mirissa, Galle+5 more", 1 to 99 ,"Family, Private, Partially Guided, Sightseeing, Christmas & New Year+3 more",Holiday Lanka Tours,14 days,630,197058
82,Explorer,Sri Lanka 15 Day Itinerary - Private Tour," Colombo, Pinnawala, Kandy, Nuwara Eliya, Udawalawe National Park, Tangalle, Mirissa, Galle, Hikkaduwa, Bentota+4 more", 1 to 99 ,"Beach, Family, Private, Partially Guided, Christmas & New Year+2 more",Holiday Lanka Tours,15 days,678,197226
83,In-depth Cultural,Sacred Sri Lanka - Free Upgrade to Private Tour Available," Colombo, Pinnawala, Dambulla, Sigiriya, Polonnaruwa, Matale, Kandy ", 10 to 99 ,"Active Adventure, Family, Group, Partially Guided+1 more",Aitken Spence Travel,5 days,560,103122
84,Active Adventure,Amazing Sri Lanka," Negombo, Pinnawala, Kandy, Nuwara Eliya, Bentota, Galle, Colombo ", 18 to 75 ,"Private, Fully Guided, Christmas & New Year+1 more",Swastik India Journeys,5 days,291,175872
85,In-depth Cultural,Sri Lanka Explorer," Negombo, Anuradhapura, Jaffna, Trincomalee, Dambulla, Kandy, Colombo ", 15 to 99 ,"Group, Fully Guided, Christmas & New Year+1 more",Intrepid Travel,12 days,1.526,102655
