,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
39,Explorer,The North Cape Express - Half Voyage (from Tromso to Bergen)," Tromso, Honningsvag, Alta, Lødingen, Rørvik, Kristiansund, Molde, Bergen ", 6 to 90 ,"Group, Fully Guided, Sailing, Hiking & Trekking+2 more",Hurtigruten,9 days,"2,752",239532
40,In-depth Cultural,Scenic Scandinavia and its Fjords (14 Days),"enmark, Norway, Sweden", 5 to 99 ,"Family, Group, Fully Guided, Explorer, Coach / Bus+3 more",Trafalgar,14 days,"4,450",83142
41,Active Adventure,Cross-country Skiing: Kvitavatn, Oslo , 14 to 99 ,"Family, Group, Fully Guided, Ski, Snowboard & Snow+2 more",Exodus Travels,8 days,"2,349",33310
42,Explorer,The North Cape Express - Full Voyage," Bergen, Molde, Kristiansund, Alta, Honningsvag, Tromso, Stokmarknes, Svolvær, Bronnoysund, Alesund, Haugesund, Farsund, Kristiansand, Oslo+6 more", 6 to 90 ,"Northern Lights, Group, Fully Guided, Ocean Cruise+2 more",Hurtigruten,15 days,"3,246",233494
43,Explorer,The North Cape Express -  Full Voyage," Oslo, Kristiansand, Farsund, Haugesund, Alesund, Bronnoysund, Svolvær, Stokmarknes, Tromso, Honningsvag, Alta, Molde, Kristiansund, Bergen+7 more", 6 to 90 ,"Northern Lights, Group, Fully Guided, Ocean Cruise+2 more",Hurtigruten,15 days,"3,246",233493
44,Explorer,Astronomy Voyage | In search of the Northern Lights," Bergen, Alesund, Trondheim, Lofoten, Tromso, Honningsvag, Kirkenes ", 6 to 90 ,"Family, Polar, Arctic, Northern Lights, Group, Fully Guided, Ocean Cruise+4 more",Hurtigruten,12 days,"3,137",226971
45,Active Adventure,Cross-Country Skiing in Venabu, Venabu , 8 to 99 ,"Family, Self-Guided, Private, Independent, Ski, Snowboard & Snow, Christmas & New Year+4 more",Exodus Travels,8 days,"2,949",107475
46,Explorer,Norwegian Coastal Highlights Reverse," Tromso, Lofoten, Molde, Trondheim, Bergen, Oslo ", 20 to 85 ,"Group, Fully Guided",50 Degrees North,10 days,"2,731",229798
47,Explorer,Magic of the Fjords & Stockholm," Bergen, Balestrand, Oslo, Stockholm ", 1 to 70 ,Group,V.O.S – Vision of Scandinavia,9 days,"1,667",234663
48,Explorer,Scandinavia (12 Days),"enmark, Norway, Sweden", 18 to 35 ,"Wildlife & Nature Photography, Group, Fully Guided+3 more",Contiki,12 days,"2,284",233666
49,Explorer,"Fjords, Charm and Traditions & Stockholm"," Oslo, Flam, Voss, Bergen, Loen, Molde, Oppdal, Stockholm ", 12 to 80 ,"Group, Fully Guided",V.O.S – Vision of Scandinavia,10 days,"1,968",234734
50,Explorer,"Svalbard, Longyerbyen and Oslo - 7 days"," Oslo, Longyearbyen, Svalbard ",,"Family, Christmas & New Year+1 more",Receptivo Aborigen Tours,7 days,"7,581",208251
51,Polar,"Introduction to Spitsbergen, Operated by Quark"," Oslo, Longyearbyen, Svalbard, Spitsbergen ",,"Active Adventure, Arctic, Group, Fully Guided+1 more",Exodus Travels,10 days,"7,990",143881
52,In-depth Cultural,"Timeless Scandinavia (Small Groups, 12 Days)","enmark, Sweden, Norway", 5 to 99 ,"Active Adventure, Family, Private, Group, Fully Guided, Explorer+3 more",Luxury Gold,12 days,"7,542",103034
53,Explorer,The Svalbard Express – Northbound," Bergen, Andalsnes, Stokmarknes, Tromso, Honningsvag, Bjornoya, Longyearbyen ",,"Group, Fully Guided, Ocean Cruise+1 more",Hurtigruten,10 days,"5,799",233480
54,Explorer,The Svalbard Express – Southbound," Spitsbergen, Longyearbyen, Ny Aalesund, Tromso, Senja Island, Svolvær, Bronnoysund, Alesund, Bergen+3 more",,"Group, Fully Guided, Ocean Cruise+1 more",Hurtigruten,10 days,"4,826",233481
55,In-depth Cultural,"Northern Lights of Scandinavia (Classic, 10 Days)"," Helsinki, Ivalo, Honningsvag, Alta, Tromso, Oslo ", 5 to 99 ,"Family, Northern Lights, Private, Group, Fully Guided, Explorer+4 more",Insight Vacations,10 days,"4,088",203911
56,In-depth Cultural,"Northern Lights of Scandinavia (Small Groups, 10 Days)"," Helsinki, Ivalo, Honningsvag, Alta, Tromso, Oslo ", 5 to 99 ,"Family, Northern Lights, Private, Group, Fully Guided, Explorer, Coach / Bus+5 more",Insight Vacations,10 days,"4,588",203985
57,Explorer,Spectacular Scandinavia   (Copenhagen to Bergen),"enmark, Sweden, Norway", 5 to 99 ,"Family, Group, Fully Guided, Historical+2 more",Collette,14 days,"4,549",217761
58,In-depth Cultural,"Scandinavian Discovery (Start Copenhagen, End Bergen)","enmark, Sweden, Norway", 12 to 99 ,"Family, Group, Fully Guided, Explorer, Historical+3 more",Scenic Luxury Cruises & Tours,10 days,"7,600",188764
59,In-depth Cultural,"Scenic Scandinavia and its Fjords (Women Only, 14 Days)","enmark, Norway, Sweden", 5 to 99 ,"Family, Group, Fully Guided, Coach / Bus, Historical+3 more",Trafalgar,14 days,"4,150",225628
60,Explorer,Nordic Adventure (20 Days),"enmark, Sweden, Finland, Norway", 5 to 99 ,"Family, Northern Lights, Private, Group, Fully Guided, Coach / Bus+4 more",Trafalgar,20 days,"5,513",204641
61,Explorer,The Svalbard Express  - Full Voyage," Bergen, Andalsnes, Træna, Stokmarknes, Tromso, Honningsvag, Longyearbyen, Ny Aalesund, Senja Island, Svolvær, Bronnoysund, Alesund+5 more",,"Group, Fully Guided, Ocean Cruise+1 more",Hurtigruten,16 days,"7,641",232961
62,Polar,"Spitsbergen In Depth: Big Island, Big Adventure, Operated by Quark"," Oslo, Longyearbyen, Spitsbergen, Svalbard ",,"Active Adventure, Arctic, Group, Fully Guided+1 more",Exodus Travels,14 days,"12,990",143882
63,Active Adventure,Arctic Circle Traverse Hiking Tour," Trondheim, Bodo, Narvik, Stockholm ", 1 to 100 ,Family,50 Degrees North,9 days,"2,823",224020
64,Explorer,Arctic Circle Traverse," Trondheim, Bodo, Narvik, Stockholm ", 1 to 100 ,"Family, Group, Partially Guided+1 more",50 Degrees North,9 days,"2,387",223973
65,Explorer,Bergen to Copenhagen escorted tour," Bergen, Flam, Oslo, Copenhagen ", 12 to 90 ,"Group, Fully Guided",50 Degrees North,11 days,"4,053",235027
66,Explorer,Spring Expedition Cruise to Norway’s Fjords from Dover," Dover, Flam, Sognefjord, Geiranger, Loen, Rosendal, Lysefjorden ", 6 to 90 ,"Family, Group, Fully Guided, Ocean Cruise+2 more",Hurtigruten,11 days,"3,570",228594
67,Explorer,Norwegian Fjords & Lofoten Islands," Leith, Lerwick, Bergen, Vikoyri, Flam, Nordfjordeid, Geiranger, Froya, Lofoten, Tromso+1 more", 12 to 99 ,"Family, Group, Fully Guided, Ocean Cruise+2 more",Scenic Luxury Cruises & Tours,11 days,"11,795",225075
68,Explorer,"Complete Scandinavian Adventure: Copenhagen, Balestrand, Flam, Bergen, Odda, Longyearbyen, Bodo, Moskenes, Kabelvag, Lofoten, Tromso, Oslo, Stockholm","enmark, Norway, Svalbard, Sweden", 3 to 99 ,"Family, Christmas & New Year+1 more",Receptivo Aborigen Tours,22 days,"24,476",206875
69,Explorer,Northern Lights Expedition Cruise from Dover (16 destinations)," Dover, Reine, Alta, Tromso, Narvik, Bergen, Egersund ", 6 to 90 ,"Family, Northern Lights, Group, Fully Guided, Ocean Cruise+3 more",Hurtigruten,15 days,"5,443",228596
70,Explorer,Christmas expedition cruise from Dover (28 destinations),"ngland, France, Norway", 6 to 90 ,"Group, Fully Guided, Sailing+1 more",Hurtigruten,15 days,"6,243",238511
71,Explorer,Christmas Expedition Cruise from Dover (18 destinations)," Dover, Loen, Reine, Alta, Tromso, Narvik, Bergen, Egersund ", 6 to 90 ,"Family, Group, Fully Guided, Ocean Cruise+2 more",Hurtigruten,15 days,"5,737",228595
72,Explorer,Spring expedition cruise to Svalbard from Dover,"ngland, Norway, Svalbard", 6 to 90 ,"Family, Group, Fully Guided, Ocean Cruise+2 more",Hurtigruten,22 days,"7,267",228599
73,Explorer,Christmas Expedition Cruise from London," Tilbury, Loen, Reine, Tromso, Narvik, Bergen, Egersund ", 6 to 90 ,"Northern Lights, Group, Fully Guided, Ocean Cruise+2 more",Hurtigruten,15 days,"5,737",240100
74,Explorer,Northern Lights Expedition Cruise from Amsterdam," Amsterdam, Stavanger, Kalvag, Svolvær, Tromso, Honningsvag, Torsken, Fjaerland, Bergen+1 more", 6 to 90 ,"Northern Lights, Group, Fully Guided, Ocean Cruise+2 more",Hurtigruten,15 days,"4,478",240093
75,Ocean Cruise,Norway Winter Expedition Cruise from Hamburg," Hamburg, Bergen, Svolvær, Alta, Honningsvag, Tromso, Reine, Alesund, Rosendal ", 6 to 90 ,"Family, Group, Fully Guided, Explorer+2 more",Hurtigruten,15 days,"6,430",210461
76,Explorer,Northern Lights Expedition Cruise from Dover (20 destinations)," Dover, Nordfjordeid, Loen, Lofoten, Alta, Tromso, Narvik, Bergen, Egersund ", 6 to 90 ,"Northern Lights, Group, Fully Guided+1 more",Hurtigruten,15 days,"5,577",240094
77,Explorer,Northern Lights Expedition Cruise from London," London, Loen, Lofoten, Alta, Tromso, Narvik, Bergen, Egersund ", 6 to 90 ,"Group, Fully Guided, Ocean Cruise+1 more",Hurtigruten,15 days,"5,443",240092
78,Ocean Cruise,Majestic Norwegian Fjords," Tromso, Lofoten, Geiranger, Alesund, Flam, Vikoyri, Bergen, Farsund, Oslo, Copenhagen+1 more", 12 to 99 ,"Family, Group, Fully Guided, Explorer+2 more",Scenic Luxury Cruises & Tours,12 days,"15,090",209110
79,Explorer,Beyond the Arctic Circle," Tromso, Svalbard, Longyearbyen, Oslo ",,"Family, Group, Fully Guided, Sailing+2 more",Scenic Luxury Cruises & Tours,12 days,"16,425",225078
80,Ocean Cruise,Ultimate Arctic in Depth," Bergen, Vikoyri, Flam, Geiranger, Torghatten National Reserve, Lofoten, Tromso, Svalbard, Longyearbyen, Oslo+3 more",,"Family, Polar, Arctic, Group, Fully Guided+2 more",Scenic Luxury Cruises & Tours,24 days,"27,485",209142
81,Ocean Cruise,Scandinavian & Arctic Circle Discovery - cruise & land journey,"enmark, Sweden, Norway, Svalbard", 12 to 99 ,"Family, Arctic, Group, Fully Guided, Explorer+2 more",Scenic Luxury Cruises & Tours,23 days,"21,895",216888
82,Ocean Cruise,Majestic Norwegian Fjords & Scandinavia - cruise & land journey,"enmark, Sweden, Norway", 12 to 99 ,"Family, Group, Fully Guided, Explorer+2 more",Scenic Luxury Cruises & Tours,19 days,"21,790",216782
83,Explorer,Aurora Highlights Reverse," Ivalo, Kirkenes, Bergen ", 20 to 85 ,"Group, Fully Guided",50 Degrees North,7 days,"3,316",229797
84,Explorer,Experience the Northern Lights," Oslo, Flam, Bergen, Alesund, Trondheim, Lofoten, Tromso, Honningsvag, Kirkenes, Inari, Ivalo+2 more", 14 to 90 ,"Family, Group, Fully Guided+1 more",50 Degrees North,15 days,"5,106",224016
85,Explorer,Chase the Northern Lights," Ivalo, Kirkenes, Hammerfest, Tromso, Lofoten, Molde, Kristiansund, Trondheim, Bergen, Oslo+2 more", 1 to 100 ,"Family, Group, Fully Guided+1 more",50 Degrees North,14 days,"4,796",224012
86,Explorer,Lofoten - 10-day adventure journey," Oslo, Gol, Geilo, Finse, Myrdal, Flam, Voss, Lofthus, Odda, Steinsdalsfossen, Bergen, Floro, Alesund, Geiranger, Molde, Trondheim, Bodo, Lofoten, Svolvær, Ramberg, Reine, Senja Island, Tromso+12 more", 18 to 90 ,"Group, Fully Guided, Ocean Cruise+1 more",Chamaeleon,10 days,"6,236",213411
87,Explorer,Highlights Along Norway's Coasts,"ermany, Denmark, Norway", 3 to 90 ,"Group, Fully Guided, Sailing+1 more",Nicko Cruises,9 days,"1,460",233299
88,Explorer,Norway's Unforgettable Midnight Sun," Hamburg, Bergen, Geiranger, Kristiansund, Leknes, Honningsvag, Hammerfest, Trondheim, Warnemunde+2 more", 3 to 90 ,"Family, Group, Partially Guided, Ocean Cruise+2 more",Nicko Cruises,14 days,"2,494",226145
89,Explorer,Always North: From Hamburg to Spitsbergen,"ermany, Norway, Svalbard", 3 to 90 ,"Family, Group, Partially Guided, Ocean Cruise+2 more",Nicko Cruises,15 days,"11,527",226042
90,Explorer,All the way to the North Cape. Discover the Arctic Circle.,"ermany, Norway, Sweden", 3 to 90 ,"Family, Group, Partially Guided, Ocean Cruise+2 more",Nicko Cruises,15 days,"2,902",226152
91,Explorer,Through Fjords to the North Cape. In the Land of the Midnight Sun.," Bremerhaven, Bergen, Geiranger, Kristiansund, Reine, Tromso, Honningsvag, Trondheim, Floro, Sandnes, Hamburg+4 more", 3 to 90 ,"Family, Group, Partially Guided, Ocean Cruise+2 more",Nicko Cruises,15 days,"6,322",226144
92,Explorer,Spectacular Fjords: Discover Norway's Coast.," Bremerhaven, Sognefjord, Geiranger, Kristiansund, Leknes, Tromso, Honningsvag, Trondheim, Hamburg+2 more", 3 to 90 ,"Family, Group, Partially Guided, Ocean Cruise+2 more",Nicko Cruises,14 days,"2,687",226140
93,Active Adventure,Northern Lights Photography Tour," Ivalo, Kirkenes ", 20 to 90 ,"Group, Fully Guided",50 Degrees North,8 days,"7,858",230857
94,Explorer,Norway: Fjords and Glaciers," Oslo, Ulvik, Eidfjord, Voss, Flam, Sogndal, Myrdal, Loen, Stryn, Geiranger, Leikanger, Vik, Bergen+3 more", 13 to 80 ,"Group, Fully Guided, Coach / Bus, In-depth Cultural+2 more",Back-Roads Touring,9 days,"3,414",231551
95,Polar,Tromsø A' la Carte, Tromso , 12 to 80 ,"Family, Arctic, Northern Lights, Private, Partially Guided, Explorer, Christmas & New Year+5 more",V.O.S – Vision of Scandinavia,5 days,"1,118",103614
96,Explorer,Fall Expedition Cruise to Norway’s Fjords from Dover," Dover, Flam, Geiranger, Loen, Nordfjordeid, Rosendal, Lysefjorden ", 6 to 90 ,"Family, Group, Fully Guided, Ocean Cruise+2 more",Hurtigruten,11 days,"4,188",228598
97,Explorer,Norway Christmas expedition cruise from Hamburg (10 destinations)," Hamburg, Bergen, Svolvær, Alta, Honningsvag, Tromso, Reine, Alesund, Rosendal ", 6 to 90 ,"Family, Group, Fully Guided, Historical+2 more",Hurtigruten,15 days,"6,912",225506
98,Explorer,Norway Summer Expedition Cruise from Hamburg (Itinerary 2)," Hamburg, Lysefjorden, Fjaerland, Tromso, Skarsvag, Senja Island, Reine, Bronnoysund, Alesund, Rosendal+3 more", 6 to 90 ,"Family, Group, Fully Guided, Ocean Cruise, Historical+3 more",Hurtigruten,15 days,"8,045",224990
99,Explorer,Arctic Circle Express (2024)," Stockholm, Ostersund, Arjeplog, Jokkmokk, Narvik, Trondheim, Geiranger, Andalsnes, Flam, Myrdal, Sognefjord, Bergen, Oslo+5 more", 12 to 99 ,"Group, Partially Guided, Train & Rail+1 more",Travel Marvel,17 days,"5,838",240476
100,Explorer,Autumn Expedition Cruise to Svalbard from Dover,"ngland, Norway, Svalbard", 6 to 90 ,"Family, Group, Fully Guided, Ocean Cruise+2 more",Hurtigruten,22 days,"8,769",227284
101,In-depth Cultural,Visit Fjords in Golden Autumn," Alesund, Molde, Geiranger, Hellesylt, Andalsnes ", 5 to 90 ,"Active Adventure, Family, Private, Fully Guided, Sightseeing+2 more",Uniktur,8 days,0,132517
102,Active Adventure,8 days tour Oslo-Alesund," Oslo, Alesund, Molde, Andalsnes, Geiranger, Hellesylt, Loen ", 2 to 90 ,"Family, Private, Group, Partially Guided+1 more",Uniktur,8 days,0,132525
103,Explorer,Norway: Fjords and Glaciers 2022," Oslo, Ulvik, Voss, Flam, Fjaerland, Loen, Geiranger, Leikanger, Vik, Bergen ", 13 to 80 ,"Family, Private, Group, Fully Guided, Historical+2 more",Back-Roads Touring,9 days,0,205805
104,Explorer,The most beautiful fjords in the World," Oslo, Geilo, Bergen, Sognefjord, Geiranger, Alesund, Lillehammer ", 2 to 80 ,"Family, Group, Fully Guided, Historical+2 more",Troll Tours,8 days,0,213626
105,In-depth Cultural,Scenic Norway," Oslo, Heddal, Rjukan, Hardangervidda National Park, Bergen, Voss, Naeroyfjord, Sognefjord, Fjaerland, Loen, Geiranger, Dalsnibba Mountain, Lom, Lillehammer, Eidsvoll Verk+8 more", 8 to 80 ,"Boat, Active Adventure, Family, Private, Group, Fully Guided, Explorer, Coach / Bus, Sightseeing+6 more",Globus,10 days,"3,269",129511
106,Hiking & Trekking,Norway Fjord Trekking," Bergen, Odda, Folgefonna National Park ", 15 to 99 ,"Active Adventure, Family, Group, Fully Guided, Explorer, Sightseeing+3 more",G Adventures,7 days,"2,749",115430
107,Explorer,Magic of the Fjords - 7 days," Bergen, Balestrand, Fjaerland, Flam, Myrdal, Oslo ", 18 to 70 ,"Group, Fully Guided, Sightseeing+1 more",On The Go Tours,7 days,"1,515",92539
108,Explorer,Magical Fjord Adventure," Oslo, Myrdal, Flam, Balestrand, Bergen ", 12 to 80 ,"Family, Self-Guided, Independent+1 more",V.O.S – Vision of Scandinavia,7 days,"1,118",226351
109,Explorer,"Norwegian Fjords, Charm & Traditions"," Oslo, Geilo, Flam, Voss, Bergen, Jostedalsbreen National Park, Loen, Geiranger, Molde, Oppdal, Lillehammer+3 more", 12 to 75 ,"Family, Group, Partially Guided+1 more",V.O.S – Vision of Scandinavia,8 days,"1,509",226242
110,In-depth Cultural,Norwegian Fjords," Oslo, Kristiansand, Stavanger, Bergen, Sognefjord, Loen, Lom, Lillehammer, Hamar ", 5 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Coach / Bus+3 more",Cosmos,11 days,"2,419",130457
111,In-depth Cultural,Best of Norway (9 Days)," Oslo, Geilo, Hardangervidda National Park, Bergen, Voss, Sognefjord, Geiranger, Lom, Lillehammer+2 more", 5 to 99 ,"Family, Group, Fully Guided, Explorer, Coach / Bus, Sightseeing+4 more",Trafalgar,9 days,"2,723",103091
112,Explorer,"Fjords, Charms & Traditions - 8 days"," Oslo, Geilo, Lofthus, Bergen, Balestrand, Loen, Geiranger, Oppdal ", 18 to 70 ,"Private, Independent, Historical+1 more",On The Go Tours,8 days,"1,775",218490
113,Hiking & Trekking,Jotunheimen's Peaks & Lakes (Self-guided Walking Tour)," Oslo, Bygdin ", 12 to 70 ,"Family, Self-Guided, Independent+1 more",Traventuria,6 days,"1,468",215535
114,Explorer,Northern Norway Explorer," Oslo, Trondheim, Bodo, Lofoten, Tromso ", 15 to 99 ,"Active Adventure, Family, Arctic, Northern Lights, Group, Fully Guided, Sightseeing+4 more",Intrepid Travel,8 days,"3,965",126471
115,Explorer,Norway in a Nutshell," Oslo, Bergen ", 6 to 65 ,"Self-Guided, Private, Independent, Christmas & New Year+2 more",WiseYatra,5 days,"1,278",237122
116,Explorer,6-Day Scenic Sognefjord of Norway," Oslo, Myrdal, Balestrand, Bergen ", 3 to 80 ,"Private, Fully Guided",Agate Travel,6 days,"7,699",238574
117,In-depth Cultural,4 days in charming Alesund," Alesund, Geiranger ", 5 to 80 ,"Active Adventure, Family, Romantic, Private, Fully Guided, Christmas & New Year+4 more",Uniktur,4 days,"1,182",132527
118,Explorer,Tromsö & Alta: Arctic Northern Lights - 5 days," Tromso, Alta ", 3 to 99 ,Family,Receptivo Aborigen Tours,5 days,"8,469",213783
