,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
53,In-depth Cultural,Complete All Pakistan Tour 2022-23," Islamabad, Shigar, Skardu, Khaplu, Hunza Valley, Peshawar, Lahore, Multan, Bahawalpur, Karachi+2 more", 15 to 70 ,"Private, Group, Fully Guided+1 more",Exploria,20 days,"4,200",233144
54,Active Adventure,14 Days Yazghil Sar 5964m Peak Climbing," Islamabad, Hunza Valley ", 25 to 50 ,"Mountain Hikes, Group, Partially Guided, Explorer, Hiking & Trekking+3 more",Rock Valley Tours Pvt Ltd,14 days,"5,000",145720
55,Active Adventure,TROPHY HUNTING IBEX/BLUE SHEEP  IN PAKISTAN," Islamabad, Gilgit, Hunza Valley, Shimshal ", 22 to 70 ,"Private, Fully Guided, Christmas & New Year+1 more",Rock Valley Tours Pvt Ltd,15 days,"26,500",231220
56,Hiking & Trekking,14 Days Trek to Chilinji &Chapursan Valley Pass (5247meters) Pakistan," Islamabad, Besham City, Gilgit, Pasu, Hunza Valley ", 18 to 55 ,"Private, Group, Partially Guided+1 more",Rock Valley Tours Pvt Ltd,14 days,"3,500",188820
57,Active Adventure,Paradise Discovered (K7 Basecamp Trek)," Islamabad, Skardu, Khaplu, Hushe, Shigar ", 18 to 60 ,"Private, Group, Fully Guided+1 more",Beyond the Valley ,12 days,"2,098",239024
58,Active Adventure,Complete Northern Pakistan Tour 2022-23," Islamabad, Chitral, Phander, Gilgit, Hunza Valley, Shigar, Khaplu, Skardu, Deosai National Park, Fairy Meadows, Naran+3 more", 15 to 70 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Exploria,24 days,"5,999",233046
59,Active Adventure,Charms of Pakistan Highland to Hunza Valley and Gilgit - 13 Days," Islamabad, Naran, Chilas, Karimabad, Hunza Valley, Gulmit, Gilgit, Phander, Taxila ", 2 to 80 ,"Family, Private, Fully Guided+1 more",Agate Travel,13 days,"3,599",218424
60,Explorer,"Luxury Honeymoon Retreat to Gilgit-Baltistan, Pakistan."," Islamabad, Skardu, Shigar, Gilgit, Hunza Valley ", 20 to 80 ,"Private, Fully Guided, Christmas & New Year+1 more",Crossroads Adventure ,11 days,"4,000",228130
61,In-depth Cultural,"14 Days Swat, Hunza & Skardu Valley Tour"," Islamabad, Chilas, Skardu, Shigar, Khaplu, Gilgit, Hunza Valley, Sost, Besham City ", 18 to 80 ,"Private, Group, Partially Guided, Christmas & New Year+2 more",Rock Valley Tours Pvt Ltd,15 days,"1,600",189458
62,Active Adventure,"Trekking in Pakistan- 14 days Patundas trek Hunza, Gilgit Baltistan Pakistan"," Islamabad, Chilas, Gulmit, Ghulkin, Hunza Valley, Besham City ", 15 to 70 ,Christmas & New Year,Crossroads Adventure ,14 days,"2,900",220145
63,Explorer,Expedition to the romote paradises of Pakistan," Islamabad, Chilas, Deosai National Park, Hunza Valley, Shimshal, Gulmit, Sost, Naran+1 more", 10 to 70 ,"Family, Jeep & 4WD, Private, Fully Guided, Christmas & New Year+3 more",Crossroads Adventure ,14 days,"2,500",202541
64,In-depth Cultural,Wonders of Pakistan with Polo Festival - 14 Days," Islamabad, Chitral, Mastuj, Shandur National Park, Gilgit, Karimabad, Gulmit, Naran, Taxila+2 more", 2 to 80 ,"Family, Private, Fully Guided+1 more",Agate Travel,14 days,"4,249",218425
65,Explorer,Lahore Guided Tour, Lahore , 10 to 80 ,"inations
 Lahore Age Range
 10 to 80 year olds ",Exploria,4 days,900,237453
66,Explorer,20 Days Yak Safari Shimshal Pass 4735m Hunza Pakistan," Islamabad, Gilgit, Hunza Valley, Shimshal, Besham City ", 18 to 65 ,"Camping, Private, Fully Guided+1 more",Rock Valley Tours Pvt Ltd,20 days,"2,500",191859
67,Hiking & Trekking,Rush Lake Trek 2022-23 | Pakistan's Highest Alpine Lake," Islamabad, Gilgit, Hunza Valley ", 18 to 50 ,"Private, Group, Fully Guided+1 more",Exploria,12 days,"1,400",214076
68,In-depth Cultural,The Karakoram Experience (Hunza & Skardu Cultural Tour)," Islamabad, Skardu, Khaplu, Shigar, Gilgit, Hunza Valley ", 16 to 70 ,"Private, Group, Fully Guided+1 more",Beyond the Valley ,14 days,"2,829",238985
69,Active Adventure,16 Days Shimshal Gujrab Boisam Pass 5050m & Chafchingol Pass 5150m Trek," Islamabad, Hunza Valley ", 20 to 70 ,"Mountain Hikes, Group, Partially Guided, Explorer, Hiking & Trekking+3 more",Rock Valley Tours Pvt Ltd,16 days,"2,500",148738
70,Explorer,Swat Valley Pakistan Tour 2022-23, Islamabad , 10 to 80 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Exploria,4 days,999,233070
71,In-depth Cultural,"22 Days, 4 days easy & moderate treks with walks to Diran BC & Fairy Meadows"," Islamabad, Besham City, Gilgit, Hunza Valley, Sost, Pasu, Karimabad, Fairy Meadows, Phander, Chitral, Peshawar+4 more", 18 to 75 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Rock Valley Tours Pvt Ltd,22 days,"2,700",190895
72,Active Adventure,"Four 8,000m Base Camps in Karakoram Range Pakistan - Karakoram Trek Pakistan 2023-24"," Islamabad, Skardu, Askole ", 18 to 75 ,"Private, Group, Fully Guided+1 more",Exploria,24 days,"3,100",240608
73,Hiking & Trekking,k2 Base Camp Trek Pakistan - Exploria Tours," Islamabad, Chilas, Skardu, Askole ", 15 to 60 ,"Private, Group, Fully Guided+1 more",Exploria,21 days,"2,850",237091
74,Active Adventure,Throne Room of Mountain Gods (K2 Basecamp)," Islamabad, Skardu ", 20 to 60 ,"Private, Group, Fully Guided+1 more",Beyond the Valley ,19 days,"3,415",239014
75,Hiking & Trekking,22 Days K2 BC along Baltoro: Roof of the world & Valley of Mountain Pakistan," Islamabad, Chilas, Skardu, Askole ", 18 to 65 ,"Camping, Private, Group, Partially Guided+1 more",Rock Valley Tours Pvt Ltd,22 days,"2,300",189933
76,,Islamabad Guided Day Tour, Islamabad , 12 to 60 ,"inations
 Islamabad Age Range
 12 to 60 year olds ",Exploria,1 day,150,214886
77,Active Adventure,20 Days Concordia K2 Base Camp & GGLATrek," Islamabad, Skardu ", 20 to 50 ,"Mountain Hikes, Group, Partially Guided, Explorer, Hiking & Trekking+3 more",Rock Valley Tours Pvt Ltd,23 days,"3,000",147509
78,Explorer,Karakorum Highway & Chitral Valley," Islamabad, Naran, Chilas, Fairy Meadows, Tarashing, Skardu, Shigar, Gilgit, Hunza Valley, Karimabad, Pasu, Hussaini Suspension Bridge, Phander, Mastuj, Chitral, Rawalpindi, Taxila+9 more", 18 to 59 ,"Group, Fully Guided, Overland Truck, Hiking & Trekking+2 more",Oasis Overland,21 days,"3,577",234352
79,In-depth Cultural,11 Days Chillam Josh Festival Kalash Valley Chitral and Peshawar," Islamabad, Chitral ", 12 to 80 ,"Private, Group, Partially Guided+1 more",Rock Valley Tours Pvt Ltd,11 days,"1,200",152767
80,In-depth Cultural,Kalash Festival Pakistan - Chilam Joshi," Islamabad, Chitral ", 10 to 70 ,"Family, Private, Group, Fully Guided+1 more",Exploria,9 days,"1,100",190751
81,Festival & Events,Chilam Joshi Festival," Islamabad, Chitral, Peshawar ", 18 to 80 ,"Festival of Lights, Private, Group, Fully Guided+3 more",Hunza Explorers,7 days,980,192232
82,In-depth Cultural,Pure Pakistan incl Shandur Festival," Lahore, Islamabad, Chitral, Mastuj, Shandur National Park, Phander, Gilgit, Karimabad, Pasu, Fairy Meadows, Naran+4 more", 18 to 99 ,"Active Adventure, Group, Partially Guided, Explorer, Historical+3 more",Crooked Compass,19 days,"7,647",136304
83,Explorer,Chilam Joshi Festival Kalash 2023-24 By Exploria," Islamabad, Chitral, Mastuj, Phander, Gilgit, Hunza Valley, Naran ", 15 to 65 ,"Private, Group, Fully Guided+1 more",Exploria,13 days,"1,900",241611
84,In-depth Cultural,10 Days Hunza Valley Cherry Blossom Tour Pakistan," Islamabad, Hunza Valley, Gulmit ", 18 to 60 ,"Group, Partially Guided, Sightseeing+1 more",Rock Valley Tours Pvt Ltd,10 days,"1,000",144359
85,Explorer,10 Days Hunza Gojal & Shimshal Valley Cherry Blossom Tour!," Islamabad, Hunza Valley ", 18 to 70 ,"Group, Partially Guided, Sightseeing+1 more",Rock Valley Tours Pvt Ltd,10 days,"1,000",146662
86,Festival & Events,Kalash Festivals Chitral Valley Pakistan," Islamabad, Chitral ", 12 to 85 ,"Private, Group, Partially Guided+1 more",Rock Valley Tours Pvt Ltd,6 days,800,188824
87,Active Adventure,22 Days Snow Lake & Hispar Beifo Glacier Trek Pakistan," Islamabad, Skardu ", 20 to 40 ,"Mountain Hikes, Group, Partially Guided, Explorer, Hiking & Trekking+3 more",Rock Valley Tours Pvt Ltd,22 days,"3,500",147564
88,Hiking & Trekking,Climb Mt Karun Kuh 6977M Shimshal Valley Pakistan," Islamabad, Gilgit, Hunza Valley, Shimshal ", 25 to 65 ,"Private, Group, Partially Guided+1 more",Rock Valley Tours Pvt Ltd,60 days,"6,000",189941
89,Active Adventure,K2 Base Camp & GGLA," Islamabad, Skardu, Chilas, Askole ", 18 to 65 ,"Private, Group, Fully Guided+1 more",100 Adventures Travel,21 days,"2,200",157669
90,In-depth Cultural,03 Days Lahore Deep Culture Tour Pakistan, Lahore , 15 to 85 ,"inations
 Lahore Age Range
 15 to 85 year olds ",Rock Valley Tours Pvt Ltd,3 days,200,210445
91,Active Adventure,17 Days Shimshal Pass 4735m Trek, Islamabad , 20 to 60 ,"Mountain Hikes, Private, Group, Partially Guided, Explorer, Hiking & Trekking+4 more",Rock Valley Tours Pvt Ltd,17 days,"1,900",145556
92,Hiking & Trekking,Pakistan: Königstrek im Karakorum zum Concordia-Platz und K2 Basecamp," Islamabad, Skardu, Askole ", 10 to 72 ,"Group, Fully Guided",MOSKITO Adventures,21 days,"3,899",239197
93,Hiking & Trekking,Concordia & K2," Islamabad, Skardu, Askole ", 18 to 99 ,"Active Adventure, Camping, Mountain Hikes, Private, Group, Fully Guided+4 more",Exodus Travels,21 days,"5,749",96797
94,In-depth Cultural,04 Days Lahore Culture Tour & Wagah Border Flag Lowering Ceremony., Lahore , 5 to 80 ,"inations
 Lahore Age Range
 5 to 80 year olds ",Rock Valley Tours Pvt Ltd,4 days,500,144362
95,,Islamabad airport transfer, Islamabad , 10 to 80 ,"inations
 Islamabad Age Range
 10 to 80 year olds ",Exploria,1 day,70,227211
96,Safari,20 Days Jeep Safari Deosai Plateaus Skarrdu Balistan Pakistan," Islamabad, Naran, Chilas, Deosai National Park, Skardu, Shigar, Khaplu, Vasto ", 18 to 75 ,"Jeep & 4WD, Private, Group, Fully Guided+1 more",Rock Valley Tours Pvt Ltd,20 days,"2,500",190911
97,In-depth Cultural,Kashgar to Kashmir,"hina, Tajikistan, Pakistan", 18 to 99 ,"Group, Partially Guided, Historical+1 more",Crooked Compass,23 days,"6,584",129673
98,In-depth Cultural,Hunza Shangri-La Tour," Islamabad, Besham City, Chilas, Gilgit, Karimabad, Gulmit, Pasu, Sost ", 12 to 80 ,"Private, Group, Partially Guided, Sightseeing+2 more",Hunza Explorers,8 days,0,109369
99,In-depth Cultural,Hunza & Phandar Valley Autumn Tour - Pakistan," Islamabad, Abbottabad, Naran, Chilas, Gilgit, Karimabad, Gulmit, Pasu, Sost, Besham City, Taxila+2 more", 12 to 80 ,"Private, Group, Partially Guided, Sightseeing+2 more",Hunza Explorers,10 days,0,115431
100,In-depth Cultural,Hunza Valley Cherry Blossom Tour," Islamabad, Besham City, Chilas, Gilgit, Gulmit, Ghulkin, Pasu, Sost, Karimabad, Nagar Khas+1 more", 12 to 80 ,"Private, Group, Fully Guided, Sightseeing+2 more",Hunza Explorers,9 days,0,172749
101,In-depth Cultural,Cherry Blossom Hunza Pakistan 2023," Islamabad, Gilgit, Hunza Valley ", 10 to 70 ,"Family, Private, Fully Guided, Sightseeing+2 more",Exploria,7 days,0,184618
102,Historical,Indus Valley Civilization Tour," Karachi, Hyderabad, Larkana, Sukkur, Multan, Lahore, Islamabad, Peshawar, Taxila ", 12 to 80 ,"Private, Group, Partially Guided+1 more",Hunza Explorers,13 days,0,146679
103,In-depth Cultural,Hunza Autumn Tour," Islamabad, Besham City, Chilas, Gilgit, Karimabad, Gulmit, Ghulkin, Pasu, Sost ", 8 to 16 ,"Family, Private, Group, Partially Guided, Sightseeing+2 more",Hunza Explorers,10 days,0,174271
104,Explorer,Cherry Blossom Tour to Hunza and Skardu," Islamabad, Skardu, Shigar, Khaplu, Gilgit, Karimabad, Hunza Valley, Gulmit ", 10 to 70 ,"Private, Group, Fully Guided+1 more",Exploria,10 days,0,239592
105,Explorer,Explore Kalash Valley," Islamabad, Peshawar, Chitral ", 12 to 80 ,"Private, Group, Partially Guided, Sightseeing+2 more",Hunza Explorers,10 days,0,109415
106,Hiking & Trekking,Pakistan - The Queen of the Karakoram: K1 Base Camp Trek (11 days)," Islamabad, Skardu, Hushe, Masherbrm Glacier, Khaplu, Taxila ", 16 to 80 ,"Group, Fully Guided, Explorer+1 more",ASI Reisen,11 days,"2,253",238887
107,Explorer,14 Days Fairy Meadows Nanaga Parbat Base Camp & Hunza Valley Tour," Islamabad, Hunza Valley ", 18 to 55 ,"Private, Group, Partially Guided, Sightseeing+2 more",Rock Valley Tours Pvt Ltd,14 days,0,150052
108,In-depth Cultural,Best of Pakistan," Lahore, Islamabad, Karimabad, Sost, Ghulkin, Fairy Meadows, Naran ", 16 to 70 ,"Group, Partially Guided, Sightseeing+1 more",FindMyAdventure,11 days,0,161308
109,In-depth Cultural,03 Days Taxila Ghandhara Civilization Tour Pakistan," Islamabad, Taxila ", 18 to 80 ,"Private, Independent",Rock Valley Tours Pvt Ltd,3 days,0,144364
110,In-depth Cultural,8 Days Swat Valley Cherry Blossom Tour, Islamabad , 10 to 70 ,"Family, Private, Group, Partially Guided, Sightseeing+2 more",Rock Valley Tours Pvt Ltd,8 days,0,150499
111,Hiking & Trekking,K2 Base Camp Trek with Gondogoro LA," Skardu, Askole ", 18 to 80 ,"Group, Partially Guided",FindMyAdventure,15 days,0,161333
112,Active Adventure,Pakistani Kashmir," Islamabad, Skardu, Hunza Valley, Gilgit ", 21 to 65 ,"Volunteering, Group, Partially Guided+1 more",Mudita Adventures,12 days,0,182220
113,Active Adventure,Skiing Adventure Pakistan, Islamabad , 18 to 75 ,"Private, Group, Fully Guided, Ski, Snowboard & Snow+2 more",100 Adventures Travel,10 days,0,183513
114,In-depth Cultural,Explore Gilgit-Baltistan and Kalash Valley," Islamabad, Chilas, Fairy Meadows, Deosai National Park, Skardu, Khaplu, Shigar, Gilgit, Karimabad, Gulmit, Sost, Shandur National Park, Mastuj, Chitral+7 more", 12 to 80 ,"Private, Fully Guided",Hunza Explorers,22 days,0,225517
