,Destination_link,Review,Sentiment Score
613,93167,"Hotels were totally to an unacceptable standard. Understaffed - dirty and lack of facilities.
Locations poor, no where to eat or drink near by. Stopped at supermarkets to buy food for the evenings. This tour should have been advertised as self...

            Show more",1
633,82365,"Very uncomfortable bus -  seats were too small with no leg room.  I ended up with severe knee pain from not being able to stretch out my legs.

Kids were out-of-control and noisy.  My travel companion was knocked down by a running boy.

Bathrooms in...

            Show more",1
636,82362,"Very uncomfortable bus -  seats were too small with no leg room.  I ended up with severe knee pain from not being able to stretch out my legs.

Kids were out-of-control and noisy.  My travel companion was knocked down by a running boy.

Bathrooms in...

            Show more",1
662,51897,""".................,.............",1
681,51523,"Extremely upset had to deal with bus driver who did not wear mask while driving.  Tour guide inconsistent with his mask, pulled his mask down when he spoke, ate at included meal restaurants with table closely put together including one restaurant super...

            Show more",1
682,51523,"We loved everything except the boat tour out of Seward. The seas were way too rough to go out. It was the final tour of the year on that boat. It should of been cancelled and refunded in full. We received $50 each back because the tour was shortened...

            Show more",1
685,201587,Extremely bad communication between agency and Empire vacation team. And because of that I missed the bus and also not being able to go to Canada side.,1
702,113757,"I wish I could give this company a better rating but in all consciousness and honesty to future travelers I cannot. The problem begins with the pre-tour communication as to what is included and which hotels you will be staying at. We had to arrive a day...

            Show more",1
739,131990,Never with Cosmos again.,1
760,52225,"Cosmos Tours give false promises
 1 out of 5, reviewed on Jul 20, 2016, viewed 11 times
We had purchased from Cosmos Tours their Western US Tour package. As per the company, we were to be escorted by a Tour Director who was a local and had intimate...

            Show more",1
761,199064,"Cons:
1. Daniel Webster Inn was over-rated. Would not stay there again.
2. Visit to the Plimouth Plantation was a waste of time.  Spent way too much time there.
3. Transportation from Logan Airport to the Boston Hyatt was a mess!!!! No signs, no...

            Show more",1
767,131989,Never with Cosmos again.,1
768,239327,Didn’t expect it to be nothing on Day 1 expect to check into the hotel.,1
805,204656,Still looking for a refund on this trip as it was cancelled for lack of travelers.,1
874,225504,"Meal service was very slow at hotel.The second dinner together was terrible (cold,slow coming ).",1
880,119060,"In summary: helplessness, greed of the company and discrimination. On the first day of the tour the director makes you sign a document on covid health of which he does not give you a copy.  You share a room with a woman who spends several days...

            Show more",1
1024,239328,Didn’t expect it to be nothing on Day 1 expect to check into the hotel.,1
1027,239329,Didn’t expect it to be nothing on Day 1 expect to check into the hotel.,1
23,92539,"Everything was wrong. 2 out three hotels. Timing of the boat to Bergen.The English got coloured brochures about the itinerary  we got nothing. Only a piece of paper saying we were staying at The Thon Opera and to meet at reception. It was in fact The...

            Show more",1
60,132527,"This tour was something new for my family (4 pers). Norway? Package tour? Alesund? So small town, maybe it will be...

            Show more",1
82,236678,"This tour was the 2nd week of October and the last tour of the season. That came with both positives and negatives....

            Show more",1
102,83034,"Agent should check passport valid to date before taking payment. Mine was 8 days short requiring rescheduled flights and fees costing $1,800 AUD. This lack of attention to detail ruined our holiday and reflects poorly on the whole company. My reviews...

            Show more",1
111,185365,"This tour was something new for my family (4 pers). Norway? Package tour? Alesund? So small town, maybe it will be...

            Show more",1
113,176972,"This tour was something new for my family (4 pers). Norway? Package tour? Alesund? So small town, maybe it will be...

            Show more",1
139,46438,"just a couple of comments  tour rated 19-99years  i am 77 and could not see a 99 year old making it.  also no sense starting at colombo and finishing in marissa.  should have started in negambo and finished in negambo  a lot of people seem to feel the...

            Show more",1
180,119770,"Better communication.. sudden changes from accommodation booked to a hostel unexpected and unpleasant was such a let down. Lost our trust. Driver wanted to be in accommodation with people he knew so therefore pretended we wanted a barbecue which we did...

            Show more",1
194,183353,Poor service- from driver not knowing any of the locations and requiring you to use your international personal data to poor management and delays - I would not recommend this service.,1
202,92261,"Hotels were unacceptable. In Kandy, I was bitten by bed bugs. Hotel was very dirty (room, bathroom, bed sheets and towels). I found evidences of bed bugs on the mattress. I have evidences confirming the above. It was also reported, but hotel manager was...

            Show more",1
396,103122,"With a twin share of 1600.00 Australian the value for money wasn't in this tour. We had today for all entry fees an meals but breakfasts. Honestly the accomdation could of gotten it all for 400.00 over the 5 days an travel less then 200.00 for us both....

            Show more",1
421,33172,"I have to agree with Bettina's review of Discover Sri Lanka tour. Missed activities, poor quality hotels, very bustling experiences, no successful attempts to avoid overtly crowded activities and sites.  In my case our guide had insufficient knowledge...

            Show more",1
434,156034,"I was under the impression there were nine on this tour ( tour radar advertised 15 places, eight left) In the event I was the only person on the tour.  Mango Vacations tried to combine my tour with that of another customer. It transpired she was booked...

            Show more",1
443,125368,"When booked I upgraded to have a single room.  When no one else ended up booking the tour they kept the upgrade fee $700.  The guide showed up hungover 3 times. One night he texted me at 9:45pm asking where I was after drinking for a couple hours with...

            Show more",1
446,147714,"Extremely disappointed by the lack of due diligence done on the tours provided. Myself and two friends did the Capital Lanka tour of Sri Lanka - the itinerary provided was very different to that on TourRadar website, we were lumped into a double rooms/...

            Show more",1
452,197914,"Very bad experience. Driver barely talked or explained anything to us. In comparison we had another tour in Sri Lanka via a different company where the driver would constantly engage, help, and talk to us. I can't even say this driver was safe, he spent...

            Show more",1
540,169883,"Very BAD experience. Mango ruined our vacation. Driver H. inexperienced, English bad, no guide competence (no communication about itinerary, no knowledge of sights) . Except for one, all Hotels 1* European level at the most. Felt ripped off, e.g. for...

            Show more",1
589,97292,"If driving rickshaws around Sri Lanka with 12-15 other teams, meeting the locals, camping under the stars, relaxing on beautiful beaches, eating amazing food and generally having the most amazing trip isn't for you then definitely don't go! 
We had an...

            Show more",1
641,191866,Fghhghjhbbjjjbjjbbjjjn,1
884,156026,"I can not recommend this company highly enough. The driver was always on time , SUPER helpful and friendly and gave us so much knowledge. Nothing was too much trouble and Don made it the most enjoyable experience of our lives. Honestly ask for him if...

            Show more",1
887,192035,"We had a chance to travel to India and Maldives with Paylesstoursindia in March 2023
Their services and attention...

            Show more",1
979,180304,"we Are still,  after 12 days, in negotiation with Tour Radar.  We were told by Beauty Lanka Tour company that Tour Radar sent out incorrect itinerary.  
We were forced to pay SLR extra 34 000 each person before the driver would take us into first...

            Show more",1
1202,88593,"I have to agree with Bettina's review of Discover Sri Lanka tour. Missed activities, poor quality hotels, very bustling experiences, no successful attempts to avoid overtly crowded activities and sites.  In my case our guide had insufficient knowledge...

            Show more",1
1294,143660,Take me back!,1
1316,185000,"Terence vishwa is a crook and i have more to say on this matter. When i arrived he asked for more money and changed the tour plus i was the only one on the tour.He exploited the driver with gross underpayment. The tour was 4 days and drop off 5th day....

            Show more",1
168,82330,"Do not include Ottawa as a tour site, it was a stop over with a drive by of buildings,  Very disappointing.
Had to buy additional airline tickets when tour advised it would not return to Toronto until after 4pm, brochure said 2pm, $660.00 addition to...

            Show more",1
192,51555,"The lake cruise was cancelled due to weather condition, globus suppose to refund the fees back to us. Its been a month since the tour ended. Still havent received the refund.",1
200,106388,This tour was an amazing adventure. First time traveling solo and I could not recommend this more!,1
204,106388,"Go!!!! I have convinced my cousin and she can’t stop talking about wanting to go to Canada now. It wasn’t words that convinced her, it was the photos I came home with.",1
215,51558,"The lake cruise was cancelled due to weather condition, globus suppose to refund the fees back to us. Its been a month since the tour ended. Still havent received the refund.",1
387,199077,"Trip interrupted by COVID. Trying to reach someone to ask about some charges - hours on hold, chat function disconnected us.  Is there no way to reach these people?",1
411,216588,Definitely do not recommend. Was not worth all the stress and found staff unhelpful. Really took away from the entire trip!,1
484,52279,"Cosmos tour Western Canada, inside passage.  My advice is do not travel with Cosmos.  Tour guide was useless, provided no background on places visited.    Spent too much time on coach and ferry and train portion was ghastly.   Our prepaid optional was...

            Show more",1
503,124825,"This tour was not as advertised and was a poor value for the price paid.  My husband and I spent $650 U.S. dollars a day for the trip (not including insurance) and it only included our lodging for each night and the van ride each day, NOTHING else was...

            Show more",1
519,209297,"Trip interrupted by COVID. Trying to reach someone to ask about some charges - hours on hold, chat function disconnected us.  Is there no way to reach these people?",1
537,78145,"This tour was terrible. While the website states it’s appropriate for beginners, this is false. As beginners, my wife and I were dumped at the beginner slope each day while the guide had fun with the more experienced skiers. The guide spent virtually no...

            Show more",1
539,84454,"Cosmos tour Western Canada, inside passage.  My advice is do not travel with Cosmos.  Tour guide was useless, provided no background on places visited.    Spent too much time on coach and ferry and train portion was ghastly.   Our prepaid optional was...

            Show more",1
548,114881,"The motel we stayed at (Days Inn) did not have hot water for over 24 hours. It was dirty and our room had a terrible odor to it. The sheets and pillows had stains on them. Employees at the front desk of the motel were never wearing a mask but felt very...

            Show more",1
583,218964,"Do not travel with this company!  We booked both  the Rockies tour and Washington/Niagara/ New York tour many months ago. Upon confirmation we booked our flights from Australia. Five weeks before the trip , they canceled BOTH trips  with no explanation...

            Show more",1
629,83738,"The lake cruise was cancelled due to weather condition, globus suppose to refund the fees back to us. Its been a month since the tour ended. Still havent received the refund.",1
767,218962,"Do not travel with this company!  We booked both  the Rockies tour and Washington/Niagara/ New York tour many months ago. Upon confirmation we booked our flights from Australia. Five weeks before the trip , they canceled BOTH trips  with no explanation...

            Show more",1
856,221883,"Do not travel with this company!  We booked both  the Rockies tour and Washington/Niagara/ New York tour many months ago. Upon confirmation we booked our flights from Australia. Five weeks before the trip , they canceled BOTH trips  with no explanation...

            Show more",1
861,221857,"Do not travel with this company!  We booked both  the Rockies tour and Washington/Niagara/ New York tour many months ago. Upon confirmation we booked our flights from Australia. Five weeks before the trip , they canceled BOTH trips  with no explanation...

            Show more",1
901,205210,"Do not include Ottawa as a tour site, it was a stop over with a drive by of buildings,  Very disappointing.
Had to buy additional airline tickets when tour advised it would not return to Toronto until after 4pm, brochure said 2pm, $660.00 addition to...

            Show more",1
916,186488,"Very poor tour leader and all main attractions closed. Also 2 of the 3 city guides very poor with language issues. Tour booked on the understanding that English would be spoken. With the exception of a single guide in Montreal all were very poor with...

            Show more",1
1070,240295,"Do not include Ottawa as a tour site, it was a stop over with a drive by of buildings,  Very disappointing.
Had to buy additional airline tickets when tour advised it would not return to Toronto until after 4pm, brochure said 2pm, $660.00 addition to...

            Show more",1
1182,100130,Unforgettable experiences!!!,1
1250,221858,"Do not travel with this company!  We booked both  the Rockies tour and Washington/Niagara/ New York tour many months ago. Upon confirmation we booked our flights from Australia. Five weeks before the trip , they canceled BOTH trips  with no explanation...

            Show more",1
1351,84186,"Trip interrupted by COVID. Trying to reach someone to ask about some charges - hours on hold, chat function disconnected us.  Is there no way to reach these people?",1
51,113375,Unfortunately due to the cornavirus and the cancellation of visas our tour group only consisted of two. We were a little disappointed not to have more people to interact with but it was beyond anyone’s control.,2
76,116073,"The only thing is guides took us to most expensive places for shopping where we were ripped off.  Driver will also stop only at the restaurant where the food was not healthy even after requesting to take to simple eating places. They need to put...

            Show more",2
82,5518,"There's a lot of wasted time on this tour, both in terms of spending time on trains for 6+ hours and the places you span the most time (I was sick of Varanasi by the second day there). The accommodation was disappointing, because many of the hotels did...

            Show more",2
124,2580,"I would love to say this tour was a great introduction to India and its customs and world renown sights but sadly this is not true.

Whilst on paper the tour was set out to be a fantastic experience... what transpired was a quite let down. This was...

            Show more",2
134,105050,"I found Bout India through an internet search. Like anything unknown I was weary at first, but because of the immediate response I felt as though they were taking me seriously. Within days we had corresponded several times and had the basis of a tour....

            Show more",2
139,115980,"WTX were flawless from the minute that we landed. The representative that met us at the airport was friendly and welcoming, once we checked into our hotel he ran through the itinerary with us once again before leaving us to spend the day at our...

            Show more",2
147,4199,"The guide, Javed, could not have been less interested in his job. He was aloof and unfriendly. The hotel in Delhi was awful. Like, seriously awful. Other accommodations were pretty much okay, and full of other Intrepid Tour groups. 
As far as the...

            Show more",2
173,3569,"The quality of hotels, restaurants and entertainment was very poor and didn’t make for an enjoyable experience. The guide tried his very best to make sure the trip was good - but he had no control over the pre booked elements",2
188,125698,"I have travelled internationally for nearly 20 years and have generally created my own itinerary and logistics. This year I decided to visit India for a month and travel to Jaipur, Agra Delhi, and Goa .  It was obvious from the outset we would need a...

            Show more",2
195,131887,"I booked through WTX assuming they will be professional in their business for a family vacation. It turned out to be a night mare; that they are just agents behind money and leave out clients in the middle of nowhere during journey. They do not honor...

            Show more",2
205,125836,Accommodation was poor.,2
231,125849,The hotel in Delhi was below average. The hotel in Amritsar was well below standard.,2
295,185268,"We didn’t like being told how much to tip everyone as Aussie’s don’t normally tip. We thought we had paid for the tour and we’re a bit shocked about the tipping. And hadn’t allowed that extra money for the tipping. 
Our driver and guides were really...

            Show more",2
300,185268,"Saw many tours online but many of them were not able deliver best services of local guide and driver I and my wife opted to go on India Golden Triangle Tour so we can get best hotels and city sightseeing as it was our fisrt time to India and not ready...

            Show more",2
342,165993,"Being a women I was really uncomfortable to come to India after discussing my tour plan with tourradar I got confidence to travel in india.

I booked two extra nights in Delhi to cover all things slowly as I am old women and loved to see indian women...

            Show more",2
364,97218,India was amazing. Couldn’t recommend it more. Would love to do more trips with Swastik in future.,2
461,88874,"Note that this is promoted as a tour, a group tour but it's NOT. You end up arriving and ,in my case a solo traveller, I was assigned a private car with a private driver for 9 days. He drove me as per the itinerary , and we had local tour guides in...

            Show more",2
463,88874,"I travel alone and when I book a tour, besides being on a tour to learn, I book it to be around people. I was the only person on this tour and my driver spoke very little English so it was a good tour but I would not go on another one unless other...

            Show more",2
467,115117,"I have just finished up a 2 week private tour with a small group of the Golden Traingle and Rajasthan organised by Payless Tours India. My decision to travel to India was very last minute and my timings were tight however, the tour offered by Payless...

            Show more",2
494,99552,"We did budget golden triangle, 5D/4N 
Paid 305usd, guides were working on commision with many shops so we stop at overpriced shop at least 3 times a Day (and spent only 1 hour at the Taj Mahal!!!). Hotels were dirty even for Indian standards, pubic...

            Show more",2
528,128473,"Unfortunately. this trip was the low point of our month travelling around India.  we were really looking forward to it and it could have been so much better if what was promised had been delivered and there had been any form of decent communication....

            Show more",2
614,99545,"Everything on our tour went like  clockwork, except for the trains and this unfortunately can't be avoided.
Our drivers and guides were always on time, mostly early and all were very knowlwdgeable re their cities and subjects. Our hotels were all very...

            Show more",2
656,218522,"I have now travelled with Memorable India twice and I cannot speak highly enough of them. I have seen some truly fantastic things. My one criticism would be for the app to be sorted out, as it has crashed on me too many times.",2
710,111715,"I just wanna say thank you to shanu from raj travel
Without this company it was very tough for me
From bottom to top
From starting till end
Each and everything was too good


Recommended.",2
732,128794,Too much shopping time with hard-sell merchants.,2
735,128794,"20:17
Most of the hotels provided by the travel agency were beyond expectations and we didn't expect to have such nice accommodation in India before the tour. Apart from that service of the personal driver was great since we could stop whenever we...

            Show more",2
784,162841,"We originally searched with TourRadar and determined that the 6 day Golden Triangle Tour offered by Adreva Trotter Pvt. Ltd. (INDIA Trotter) offered the best tour for our needs.  However, with the time we had available (10 days), we contacted the...

            Show more",2
836,155760,"The visits in Leh and to Nubra Valley and Pangong Lake were fantastic. The guide and driver were professional and the guide had good knowledge. I was very disappointed in two things, one the Ladakh Imperial hotel, rooms were good but the service was...

            Show more",2
926,138026,"On the spur of the moment, I decided to do a private tour and India Arrival Tours stepped up. In 45 mins I was off with Rahis in a taxi. I explained that I wanted to focus on textiles after a quick visit to the Lotus Temple.
His two choices were in...

            Show more",2
960,115448,"Prior to the trip it was advertised to cater for vegans so I put that I was vegan, however no tour guide was aware of this and didn’t have a clue what a vegan was. I suggest don’t advertise that you cater for vegans. 
The driver was great throughout the...

            Show more",2
964,149097,"My tour was altered without consultation. I did not have equivalent to what I paid for. Administration was inefficient and I do not believe Travel.com had detailed knowledge of towns on South trip.  The houseboat trip was cut short and I did not see...

            Show more",2
1003,114551,"I travelled with a friend around the Golden Triangle and we used MTA. I cannot recommend them enough; they should be the only option for anyone making this trip!!! The itinerary is very organised and the tour guides are extremely flexible if you want to...

            Show more",2
1004,114551,"This tour surpassed our expectations and I could not recommend it enough. Everything was so well organised and the itinerary was just perfect. What’s more, we were able to visit additional places like an elephant sanctuary which was not on the itinerary...

            Show more",2
1160,148852,"I was a solo traveller from Australia and digital creator.I wanted to travel
to South India but was nervous and later reading good reviews of travelcon,
I decided to book a tour for myself.

Before booking, I had lot of conversation with Hemender...

            Show more",2
1180,187030,"The hotels, which were actually mostly palaces, and the tour guides and driver -all were beyond our highest...

            Show more",2
1185,185925,"We have booked the India Golden Triangle Tour with carefully as it was quite surprise here so many tours so cheap prices but they were not able deliver best services. while doing research we spoke this company and checked everything about hotels and...

            Show more",2
1248,81277,"Provide all that is on the itinerary.  Dont take pax to expensive lunch restaurants. Dont take pax to overpriced shops. 
Pre tour communication very poor.",2
1281,62998,"4 families with a total of 17 people in the group, youngest child 11. Personally I would not take a younger child. I'd also get a flight that arrives the day before not 2 hours before (booked by intrepid) to make the start less crazy - thrown into Old...

            Show more",2
1299,76490,"Kerala-Gods own communist state.



This was a lovely holiday and Gets Holidays made it!!!

However it didn't start well. We were met by our driver at Kochin airport who was a very nice man but sadly didn't speak English. We were further dismayed that...

            Show more",2
1408,81378,"If you are visiting India especially for the first time, all kinds of thoughts and questions must be going through your mind. That is what was happening to me when I was planning to visit India back in May, 2017. 
I came across GeTS Holidays who helped...

            Show more",2
1412,187982,I traveled with Deepak through Rajasthan for a period of 10 days. Deepak showed me many places inaccessible to a regular tourist. So ... if you want to visit India do it with Amazing India Tours because of guides and driver they are very much professional,2
1438,81221,"New Delhi is worth missing, streets are a mess and so much smog from the cars & motor bikes,
on the whole the hotels were ok , our taxi driver was brillant and the guides were good.
Tipping every man & his dog gets you down after a while !!",2
1439,81221,"Where do I start! Tour was good enough however two things I experienced during the trip let down big time!! 
1. Essex Village restraurant during New Delhi trip: we stopped at this place for lunch! Simple lunch!! Amazed by the bill we had to pay! £62...

            Show more",2
1447,81232,"The hotel location in Delhi is poor. Very ghetto place even though it’s close to the sightseeing places. Other hotels in Agra, Jaipur, Varanasi are great!
The tour guide in Delhi is arrogant and cranky. We all 4 don’t like him much!
The tour guides in...

            Show more",2
1463,33165,"Disappointments: poor standard of hotel in Delhi, lack of information from tour guide, one particularly long day that ought to have been managed better and unnanounced visits to local industry for a 'sales pitch'.Highlights: Visits to see and experience...

            Show more",2
1464,33165,"In theory this is a 10 day trip, but travelling out on day1, getting there on day 2 with further travel by bus to Jaipur on day 2 to hotel in time for evening meal (at the hotel as advised that nothing local to go to) gives a false impression of how...

            Show more",2
1582,185953,"Before booking this tours we saw so many tours on tourradar here on cheap prices but most of them having good feedback and some negative feedback so after good research we spoke to Amazing India Tours checked every single details about their hotels and...

            Show more",2
1598,187992,"I was solo traveller from Australia and read so much about tourradar before booking the tour of india golden triangle tour with corbett national park. on tourradar many companies offer tour on cheap prices but very difficult to choose best and...

            Show more",2
1613,191152,"it was very confusing here for me to book tour with tour operators as so many of tours available on cheap to get customers then I spoke this Amazing India Tours expert here and they made me understand please always compare services of standard and...

            Show more",2
1650,80882,"Accomodation was very average - first hotel Taj Princess linen was dirty and the room was not very clean bathroom floor had grime on it. 
In Jaipur for 2 nights no hot water in the showers. 
Temple on Ganges hotel the shower fundraiser work. My fellow...

            Show more",2
1653,80882,"Don't usually write reviews but this tour left mixed feelings and therefore couldn't resist to quickly put one together. First of all, would like to mention my negative experience with GeTS before the tour even started since they wanted to charge us...

            Show more",2
1682,214131,"we have travelled to India from far country we have seen tours here but very few of them were able to provide great services as some tour operator want clients and they never focus on quality of hotels.

My friend susan recommended this company for...

            Show more",2
1696,191148,India is lovely country and people bof India are very friendly and Taj Mahal is so much beautiful I am so sorry I am  not good writer overall I would say best tour of india,2
1715,144156,"Poor use of my time.
Good plesant driver but inexperience.  Poor English. 
The structure of the tour was badly executed with parts being missed. Arriving to late to closing times. Arriving to early and waiting hours for a guide.Poor choice of guides....

            Show more",2
1716,144156,"The guide in CHENNAI was speaking so fast I could not understand his English. If not he tried to show me so many things and I thank him for that

The guide in Mahabalipuram was ok but he was not so knowledgeable
The guide in Pondhichery was better and...

            Show more",2
1935,193326,"I was searching best India golden Triangle Tour for first time visit to India and seen many tours were available on cheap prices but their services was not up to the mark and guides i was not happy what hotels they were offering I found this India...

            Show more",2
1976,103016,"the maim problem we had was with some of the accommodation and the guide at Thanjavur. The guide at Thanjavar was far more interested in her phone than us  we felt like an inconvenience to her day.
 A couple of the hotel were out of the way .I think...

            Show more",2
42,167617,"The pick up point was a whole city block. Good idea if it was marked what location to wait.
In Vegas they switch our hotel from Harrah to some other hotel. Not nice.
In Modesto the hotel was old, bathroom door wouldn't lock. Carpet was tread bare.
We...

            Show more",2
59,104091,"We were only on the trip one day due to an illness.  The Tour leader was nice and knowledgeable and the other attendees nice.  The bus we got was too small for our party both for storage and seat size. I understand  a larger better bus was being...

            Show more",2
74,104089,"I would like to add that the communication between tour radar and us was poor. No notice of change of first night hotel was passed on to us and the start n finish dates are not discussed AT all. It is really a 6 day tour not 8 day tour as advertised....

            Show more",2
171,167549,I didn't see the cities in the tour. They have a too big bus. So it couldn't go to  so much places. We saw restricted places quickly.,2
202,167739,The places that we visited were amazing but for the price of this tour the accommodation were terrible after the first night,2
281,210746,"The itinerary, hikes and activities were great. The best feature of the hotel in Seattle was 
location. The quality of the hotels went from bad to worst. On the one we stayed the last two nights there was not even soap, we had to go and ask for it and...

            Show more",2
316,84447,Very fast paced and except for accommodation and coach have to pay for everything ELSE not even breakfast for which hotels would charge a whopping 17 dollars. No tea or coffee making facilities available in some of the hotels making morning awful,2
337,213784,"Tour guide was excellent. The bicycle that was furnished on this cycle tour was woeful. Bike broke down twice , no safety features on the bike: mirror, blinking red light facing rear traffic or reflective surfaces. Gearing was spotty and difficult....

            Show more",2
357,82331,"-We did not have name tags so it was difficult to get to know the 52 people on our trip. 
- we saw many sights but never seemed to have enough time to really see them.
- Deadwood  and the local guide were a waste of time. Please eliminate that!
- the...

            Show more",2
367,52216,Very fast paced and except for accommodation and coach have to pay for everything ELSE not even breakfast for which hotels would charge a whopping 17 dollars. No tea or coffee making facilities available in some of the hotels making morning awful,2
411,166382,"Communication – Poor from the start where I had to send many messages asking for info. Most replies were incomplete. They missed sending me my tour vouchers and I missed the New York City tour. After the ground team took over, things improved. They have...

            Show more",2
424,92353,"I recently took the “Canyons of the West 3days/2nights tour” and am hoping to contact someone at Tour Radar for a partial refund it was so bad.   I doubt this review space has enough space for all the issues that were wrong but here is a brief recap...

            Show more",2
588,224075,"It was amazing and I?m actually gutted that I just did only 4 days with the group. Would have done longer if I could. It was a really great time, the group, the trip and Sydney made my overall US experience truly unforgettable",2
616,93167,"Tour director did not give us insight of the areas we visited. The hotels are not well located for us to just walk and look for restaurants to have dinner. One hotel was even under repair. The driver was very helpful with our luggage’s. He was an...

            Show more",2
618,93167,"It was poorly organized. A lot of back tracking. Poor planning for meals. Having to stop at grocery stores for supper a few times. Stay at the Killington ski resort in construction was terrible. As a project manager I can tell you there were code...

            Show more",2
628,167544,"First two days were fantastic with your guide being excellent.
Next two days there were an equal split of English speaking guests and Italian speaking guest and the NEW guide spent most of the time speaking to the non English guest",2
