,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
13,In-depth Cultural,Taj Express - 8 days," New Delhi, Agra, Karauli, Jaipur ", 18 to 80 ,"Active Adventure, Group, Fully Guided, Explorer, Christmas & New Year+3 more",On The Go Tours,8 days,761,2580
14,In-depth Cultural,God's Own Country 'Kerala'," Kochi (Cochin), Munnar, Periyar National Park, Kollam, Alleppey ", 1 to 66 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Bout India,7 days,995,105050
15,In-depth Cultural,The Famous Incredible Golden Triangle Tour of India," New Delhi, Jaipur, Agra ", 2 to 85 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",World Travel Experiences,6 days,355,115980
16,In-depth Cultural,India's Golden Triangle," New Delhi, Jaipur, Agra ", 15 to 99 ,"Family, Group, Fully Guided, Christmas & New Year+2 more",Intrepid Travel,8 days,860,4199
17,In-depth Cultural,Golden Triangle & Tigers - 10 days," New Delhi, Agra, Jaipur, Ranthambhore National Park ", 18 to 80 ,"Active Adventure, Safari, Group, Fully Guided, Christmas & New Year+2 more",On The Go Tours,10 days,"1,031",3570
18,Active Adventure,"Taj Mahal, Tiger and Pink City"," New Delhi, Jaipur, Ranthambore National Park, Fatehpur Sikri, Agra, Taj Mahal ", 1 to 95 ,"Family, Safari, Wildlife, Jeep & 4WD, Tiger, Private, Group, Fully Guided, Christmas & New Year+6 more",Yolo India Tours,8 days,874,98630
19,In-depth Cultural,Taj Traveller - 8 days," New Delhi, Jaipur, Abhaneri, Bharatpur, Peharsar, Agra ", 18 to 70 ,"Group, Fully Guided",On The Go Tours,8 days,"1,094",3569
20,In-depth Cultural,Golden Triangle Tour with Goa," New Delhi, Agra, Fatehpur Sikri, Jaipur, Goa ", 2 to 85 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",World Travel Experiences,9 days,560,125698
21,In-depth Cultural,Golden Triangle Tour with Varanasi & Khajuraho," New Delhi, Jaipur, Agra, Jhansi, Khajuraho, Varanasi ", 2 to 85 ,"Family, Private, Group, Partially Guided, Explorer, Christmas & New Year+3 more",World Travel Experiences,10 days,670,131887
22,Active Adventure,Exotic Kerala Tour (Coconut Holiday Of India)," Kochi (Cochin), Munnar, Periyar National Park, Kumarakom, Alleppey, Kovalam, Thiruvananthapuram+1 more", 2 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",World Travel Experiences,9 days,655,125836
23,In-depth Cultural,Golden Triangle with Varanasi," New Delhi, Jaipur, Fatehpur Sikri, Agra, Varanasi ", 1 to 85 ,"Family, Educational, Private, Group, Partially Guided, Christmas & New Year+4 more",Yolo India Tours,9 days,862,98625
24,Explorer,India's Best Golden Triangle with Wildlife and Royal Castle Stay," New Delhi, Agra, Taj Mahal, Ranthambhore National Park, Talab Gaon, Lalsot, Jaipur+1 more", 5 to 90 ,"Family, Wildlife, Private, Group, Partially Guided, Historical, Christmas & New Year+4 more",Swastik India Journeys,8 days,503,158815
25,In-depth Cultural,Golden Triangle Tour with Amritsar (Golden Temple)," New Delhi, Amritsar, Agra, Fatehpur Sikri, Jaipur ", 2 to 85 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",World Travel Experiences,8 days,460,125849
26,Active Adventure,Golden Triangle Tour with Pushkar," New Delhi, Agra, Fatehpur Sikri, Jaipur, Pushkar ", 2 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",World Travel Experiences,7 days,460,127143
27,In-depth Cultural,Essential India," New Delhi, Jaipur, Abhaneri, Agra, Orchha, Khajuraho, Varanasi ", 12 to 90 ,"Active Adventure, Family, Group, Fully Guided+1 more",G Adventures,15 days,"1,317",5502
28,In-depth Cultural,India Top Selling Golden Triangle India Tour w/ Meals and Sunrise Taj Mahal," New Delhi, Agra, Fatehpur Sikri, Jaipur ", 5 to 80 ,"Family, Holi Festival, Private, Group, Fully Guided, Christmas & New Year+4 more",World Travel Experiences,5 days,330,189271
29,In-depth Cultural,Golden Triangle Tour with Udaipur," New Delhi, Agra, Jaipur, Udaipur ", 1 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",World Travel Experiences,8 days,550,108347
30,In-depth Cultural,Royal Tour of India(Golden Triangle with Rajasthan)," New Delhi, Agra, Taj Mahal, Fatehpur Sikri, Jaipur, Pushkar, Jodhpur, Ranakpur, Udaipur+1 more", 5 to 99 ,"Family, Custom, Private, Fully Guided, Explorer, Christmas & New Year+3 more",Swastik India Journeys,8 days,275,88875
31,In-depth Cultural,Unforgettable 7 Day Guided Golden Triangle Tour of India," New Delhi, Agra, Fatehpur Sikri, Jaipur, Jodhpur ", 18 to 80 ,"Private, Fully Guided, Historical, Christmas & New Year+2 more",Taj tour trips,7 days,767,136983
32,In-depth Cultural,India's Luxury Golden Triangle with Leopard Safari & Sunrise Taj Mahal," New Delhi, Agra, Jaipur ", 1 to 80 ,"Family, Romantic, Private, Fully Guided, Christmas & New Year+2 more",Swastik India Journeys,7 days,508,194192
33,In-depth Cultural,Golden Triangle Tour With Mandawa," New Delhi, Agra, Fatehpur Sikri, Jaipur, Mandawa ", 2 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",World Travel Experiences,8 days,455,132309
34,Temples,Char Dham Pilgrimage Tour from Delhi," New Delhi, Haridwar, Barkot, Uttarkashi, Gangotri, Kedarnath, Badrinath, Rudraprayag+1 more", 10 to 80 ,"Family, Group, Partially Guided+1 more",Memorable India Journeys,11 days,490,175035
35,Wildlife,Golden Triangle Tour With Ranthambhore National Park - ALL INCLUSIVE," New Delhi, Agra, Jaipur, Ranthambore National Park ", 15 to 99 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Amazing India Tours,9 days,830,185268
36,In-depth Cultural,Golden Triangle with Heritage Fort Stay," New Delhi, Agra, Jaipur ", 1 to 85 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Toursseller,6 days,581,161127
37,In-depth Cultural,Taj Mahal & Rajasthan with Royal Stay at Castles," New Delhi, Jaipur, Jodhpur, Sardargarh, Udaipur, Pushkar, Ranthambore National Park, Agra, Taj Mahal+3 more", 18 to 85 ,"Safari, Local Living, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+6 more",Swastik India Journeys,14 days,740,126911
38,In-depth Cultural,Private Golden Triangle Tour with 05 Star Hotels," New Delhi, Agra, Jaipur ", 1 to 85 ,"Family, Custom, Private, Partially Guided, Christmas & New Year+2 more",Toursseller,6 days,745,161097
39,In-depth Cultural,"Incredible Golden Triangle tour with Udaipur, Mumbai & Goa"," New Delhi, Agra, Jaipur, Udaipur, Mumbai, Goa ", 18 to 85 ,"Custom, Private, Group, Fully Guided, Christmas & New Year+2 more",Swastik India Journeys,13 days,757,99250
40,In-depth Cultural,Colorful India with Taj Mahal & Rajasthan," New Delhi, Agra, Jaipur, Bikaner, Jaisalmer, Jodhpur, Udaipur ", 15 to 80 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",K K Holidays N Vacations ,11 days,770,110554
41,In-depth Cultural,India Golden Triangle Tour - 6 Days - All Inclusive," New Delhi, Agra, Jaipur ", 15 to 100 ,"Family, Private, Group, Partially Guided, Sightseeing, Christmas & New Year+3 more",Amazing India Tours,6 days,443,165993
42,In-depth Cultural,Best of Southern India," Kochi (Cochin), Kalpetta, Mysuru, Mahabalipuram, Puducherry, Madurai, Thekkady, Periyar National Park, Alleppey+2 more", 12 to 90 ,"Active Adventure, Family, Group, Fully Guided, Christmas & New Year+2 more",G Adventures,14 days,"1,232",5498
43,In-depth Cultural,Kerala: Beaches & Backwaters," Kochi (Cochin), Alleppey, Kollam, Varkala ", 18 to 39 ,"Beach, Group, Fully Guided, Explorer, Christmas & New Year+2 more",G Adventures,7 days,594,5496
44,In-depth Cultural,Golden Triangle Tour with Varanasi," New Delhi, Jaipur, Fatehpur Sikri, Agra, Taj Mahal, Varanasi ", 5 to 99 ,"Family, Custom, Private, Fully Guided, Explorer, Christmas & New Year+3 more",Swastik India Journeys,6 days,229,97218
45,In-depth Cultural,INDIA'S BEST SELLER - 6 Days Golden Triangle (PRIVATE TOUR)," New Delhi, Agra, Abhaneri, Jaipur ", 10 to 85 ,"Active Adventure, Family, Private, Partially Guided, Explorer, Christmas & New Year+3 more",Colourful Indian Holidays,6 days,430,111427
46,In-depth Cultural,"Spiritual India - Yoga, Ganga And Golden Temple"," New Delhi, Dehradun, Rishikesh, Haridwar, Chandigarh, Dharamsala, Amritsar ", 5 to 85 ,"Family, Temples, Private, Group, Fully Guided, Christmas & New Year+3 more",MTA Destination Experts,9 days,878,196000
47,In-depth Cultural,Golden Triangle Tour India - 5 Days," New Delhi, Agra, Jaipur ", 1 to 99 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Golden Triangle Tours Of India,5 days,500,138744
48,Explorer,Golden Triangle Tour - 5 Days & 4 Nights," New Delhi, Agra, Fatehpur Sikri, Jaipur ", 1 to 99 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",ITS holidays,5 days,350,132602
49,In-depth Cultural,Splendid Golden Triangle & Tigers," New Delhi, Agra, Ranthambore National Park, Jaipur ", 1 to 80 ,"Active Adventure, Family, Festival of Lights, Private, Fully Guided, Christmas & New Year+4 more",Bout India,8 days,"1,350",105047
50,In-depth Cultural,Amritsar & the Golden Triangle - 13 Days," New Delhi, Amritsar, Chandigarh, Kalka, Shimla, Agra, Karauli, Jaipur ", 18 to 70 ,"Active Adventure, Group, Fully Guided, Explorer, Christmas & New Year+3 more",On The Go Tours,13 days,"1,660",101822
51,In-depth Cultural,"Spotlight on South India - Tamilnadu, Kerala & Karnataka (All Inclusive with domestic flight)"," Chennai (Madras), Mahabalipuram, Puducherry, Gangai Konda Cholapuram, Darasuram, Thanjavur, Trichy, Kanadukathan, Madurai, Periyar National Park, Kumarakom, Kochi (Cochin), Bangalore, Mysuru, Hassan, Sravanabelagola+12 more", 5 to 90 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",MTA Destination Experts,13 days,885,144485
52,In-depth Cultural,Golden Triangle Tour 5 Nights 6 Days," New Delhi, Agra, Jaipur ", 18 to 91 ,"Group, Partially Guided, Historical, Christmas & New Year+2 more",Kumar Taj Mahal Tour,6 days,350,136608
53,In-depth Cultural,"Essence of India with Varanasi, private car & flight included"," New Delhi, Jaipur, Agra, Orchha, Khajuraho, Varanasi ", 5 to 90 ,"Family, Custom, Private, Partially Guided, Historical, Christmas & New Year+3 more",Payless tours india,11 days,891,115118
54,In-depth Cultural,India Golden Triangle Tour," New Delhi, Agra, Jaipur ", 1 to 90 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Memorable India Journeys,6 days,435,158752
55,In-depth Cultural,Golden Triangle Tour Mumbai & Goa (Platinum Segment)," New Delhi, Agra, Fatehpur Sikri, Jaipur, Mumbai, Goa ", 2 to 90 ,"Active Adventure, Family, Private, Group, Fully Guided, Christmas & New Year+3 more",World Travel Experiences,11 days,780,167747
56,In-depth Cultural,Golden Triangle With Tigers & Ganges - Varanasi 10 Days," New Delhi, Agra, Ranthambore National Park, Jaipur, Varanasi ", 15 to 100 ,"Family, Private, Group, Partially Guided, Sightseeing, Christmas & New Year+3 more",Amazing India Tours,10 days,861,193333
57,In-depth Cultural,Golden Triangle Tour with Bharatpur Bird Sanctuary," New Delhi, Agra, Fatehpur Sikri, Bharatpur, Jaipur ", 2 to 85 ,"Family, Safari, Private, Group, Fully Guided, Christmas & New Year+3 more",World Travel Experiences,7 days,430,110485
58,In-depth Cultural,Golden Triangle Tour with Shimla (Toy Train Ride)," New Delhi, Agra, Fatehpur Sikri, Jaipur, Kalka, Shimla ", 2 to 90 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",World Travel Experiences,7 days,650,175475
59,In-depth Cultural,India : Triangle Tour W/Taj Mahal Visit | Save 70%," New Delhi, Gurgaon, Jaipur, Agra ", 8 to 90 ,"Private, Partially Guided, Historical, Christmas & New Year+2 more",Wanderful Holidays LLC,7 days,599,234368
60,"Health, Spa & Wellness",India : Colours of India & Yoga by The Ganges," New Delhi, Jaipur, Bharatpur, Agra, Rishikesh ", 10 to 90 ,"Yoga, Private, Partially Guided, Christmas & New Year+2 more",Wanderful Holidays LLC,6 days,"1,799",234364
61,In-depth Cultural,Best of Ladakh," Leh, Zanskar, Nubra Valley, Diskit, Hunder, Thiksey, Hemis, Pangong Tso Lake ", 1 to 80 ,"Family, Private, Group, Partially Guided, Historical, Christmas & New Year+3 more",Alkof Holidays,8 days,"1,275",163649
62,Active Adventure,Golden Triangle India Tour with Udaipur & Wildlife Safari," New Delhi, Agra, Ranthambore National Park, Jaipur, Udaipur ", 5 to 99 ,"Family, Safari, Wildlife, Private, Fully Guided, Christmas & New Year+3 more",Swastik India Journeys,9 days,420,88874
63,In-depth Cultural,"The best Colours of Rajasthan, 10 day tour"," New Delhi, Agra, Jaipur, Jodhpur, Udaipur, Pushkar ", 5 to 90 ,"Family, Private, Group, Partially Guided, Explorer, Christmas & New Year+3 more",Payless tours india,10 days,610,115117
64,In-depth Cultural,"A Heaven Called ""Kerala"""," Kochi (Cochin), Munnar, Periyar National Park, Kollam, Alleppey ", 1 to 65 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Bout India,10 days,"1,625",180008
65,In-depth Cultural,Rajasthan Adventure," New Delhi, Jodhpur, Ranakpur, Udaipur, Pushkar, Jaipur, Abhaneri, Bharatpur, Agra ", 12 to 90 ,"Family, Group, Fully Guided, Christmas & New Year+2 more",G Adventures,15 days,"1,130",5517
66,In-depth Cultural,Golden Triangle and Rustic Rajasthan," New Delhi, Agra, Bharatpur, Ranthambore National Park, Jaipur, Mandawa ", 1 to 80 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Bout India,11 days,"1,425",205551
67,In-depth Cultural,Budget Golden Triangle Tour," New Delhi, Agra, Taj Mahal, Fatehpur Sikri, Abhaneri, Jaipur ", 1 to 95 ,"Active Adventure, Family, Private, Group, Fully Guided, Explorer, Christmas & New Year+4 more",Yolo India Tours,5 days,487,99552
68,In-depth Cultural,4 Day Mini Golden Triangle India Tour," New Delhi, Agra, Jaipur ", 1 to 90 ,"Family, Private, Group, Partially Guided, Sightseeing, Christmas & New Year+3 more",Taj tour trips,4 days,383,136937
69,In-depth Cultural,6 Days India's Golden Triangle Tour," New Delhi, Agra, Jaipur ", 18 to 100 ,"Group, Partially Guided, Sightseeing, Christmas & New Year+2 more",Amazing India Tours,6 days,369,185736
70,In-depth Cultural,Golden Triangle & Bequest Rajasthan," New Delhi, Agra, Jaipur, Jodhpur, Udaipur ", 1 to 80 ,"Active Adventure, Family, Private, Fully Guided, Christmas & New Year+2 more",Bout India,10 days,"1,650",105049
71,Active Adventure,Best of Southern India with Houseboat Stay," Kochi (Cochin), Munnar, Periyar National Park, Thekkady, Alleppey ", 5 to 99 ,"Family, Wildlife, Private, Fully Guided, Sailing, Christmas & New Year+3 more",Swastik India Journeys,6 days,422,128473
72,Safari,05 Days Golden Triangle Tour with Ranthambore Jungle safari," New Delhi, Agra, Ranthambhore National Park, Jaipur ", 5 to 80 ,"Family, Wildlife, Tiger, Private, Partially Guided, Christmas & New Year+3 more",Yoganshi Travel,5 days,567,149243
73,In-depth Cultural,10-Day  Memorable Palaces and Royal Cuisine Tour from Jaipur to Udaipur," Jaipur, Kishangarh, Khimsar, Narlai, Kumbhalgarh, Udaipur ", 18 to 80 ,"Private, Fully Guided, Sightseeing, Christmas & New Year+2 more",IHCT Heritage & Adventure  Tours,10 days,"1,700",181977
74,Explorer,Golden Triangle Tour with a Ranthambore Wildlife Safari From Delhi," New Delhi, Agra, Ranthambore National Park, Jaipur ", 1 to 80 ,"Family, Safari, Private, Partially Guided, Christmas & New Year+2 more",Memorable India Journeys,8 days,683,158771
75,Explorer,Golden Triangle Tour with Ranthambore," New Delhi, Agra, Ranthambhore National Park, Jaipur ", 5 to 90 ,"Family, Safari, Private, Group, Partially Guided, Christmas & New Year+3 more",Agra Taj Visit,5 days,492,162903
76,In-depth Cultural,Real North India," New Delhi, Varanasi, Agra, Jaipur, Rishikesh ", 18 to 29 ,"Active Adventure, Group, Fully Guided, Explorer, Christmas & New Year+3 more",Intrepid Travel,11 days,690,81956
77,Explorer,8 Days GOLDEN TRIANGLE EXCURSION WITH RANTHAMBORE WILDLIFE SAFARI," New Delhi, Agra, Fatehpur Sikri, Ranthambore National Park, Jaipur ", 12 to 99 ,"Family, Safari, Private, Partially Guided, Christmas & New Year+2 more",Varanasi Excursion Pvt Ltd,8 days,654,136734
78,Explorer,Golden Triangle Tour with Ranthambore," New Delhi, Agra, Ranthambhore National Park, Jaipur ", 12 to 80 ,"Family, Safari, Private, Group, Partially Guided, Christmas & New Year+3 more",Agra Trip,5 days,553,148567
79,In-depth Cultural,North India Highlights National Geographic Journeys," New Delhi, Agra, Fatehpur Sikri, Jaipur ", 12 to 99 ,"Family, Group, Fully Guided, Explorer, Christmas & New Year+3 more",National Geographic Journeys with G Adventures,8 days,"1,232",85739
80,In-depth Cultural,Golden Triangle with Goa & Beaches," New Delhi, Agra, Taj Mahal, Fatehpur Sikri, Jaipur, Goa ", 5 to 99 ,"Active Adventure, Beach, Family, Custom, Private, Fully Guided, Explorer, Christmas & New Year+5 more",Swastik India Journeys,8 days,345,90051
81,In-depth Cultural,Magic of Taj Mahal & Krishna - Golden Triangle with Vrindavan !!," New Delhi, Jaipur, Abhaneri, Fatehpur Sikri, Agra, Vrindavan ", 5 to 90 ,"Family, Custom, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+4 more",MTA Destination Experts,6 days,313,126373
82,Explorer,Golden Triangle on Wheels Indian Railways," New Delhi, Jaipur, Agra, Taj Mahal ", 1 to 95 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Yolo India Tours,6 days,453,99545
83,In-depth Cultural,Trip to God's Own Country," Kochi (Cochin), Munnar, Periyar National Park, Kumarakom, Alleppey ", 18 to 85 ,"Custom, Private, Partially Guided, Explorer, Christmas & New Year+3 more",Swastik India Journeys,7 days,572,98799
84,In-depth Cultural,Southern India Tour with Beaches and Houseboat Experience," Kochi (Cochin), Munnar, Thekkady, Kumarakom, Alleppey, Kovalam, Kanyakumari, Thiruvananthapuram+1 more", 5 to 99 ,"Beach, Family, Private, Fully Guided, Christmas & New Year+2 more",Swastik India Journeys,10 days,477,94687
85,In-depth Cultural,Mountains & Mystics of India," New Delhi, Shimla, Mandi, Dharamsala, Amritsar, Rishikesh ", 15 to 99 ,"Family, Group, Fully Guided+1 more",Intrepid Travel,13 days,"1,339",4216
86,Active Adventure,11 Days of  India's popular wildlife Safaris with Romantic Taj Mahal Tour(ALL INCLUSIVE)," New Delhi, Pench National Park, Kanha National Park, Bandhavgarh National Park, Agra+2 more", 5 to 90 ,"Family, Safari, Tiger, Private, Group, Fully Guided, Christmas & New Year+4 more",Travel Con,11 days,"1,120",148943
87,In-depth Cultural,"India's Top Seller - 5 Day Golden Triangle - Delhi, Agra & Jaipur"," New Delhi, Agra, Jaipur ", 1 to 90 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Memorable India Journeys,5 days,380,218522
88,In-depth Cultural,Golden Triangle & Holy Ganges," New Delhi, Agra, Jaipur, Varanasi ", 1 to 80 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Bout India,8 days,"1,200",205620
89,In-depth Cultural,Uncover India: High Deserts & Markets," New Delhi, Agra, Jaipur, Pushkar, Udaipur, Ahmedabad, Mumbai, Goa ", 18 to 39 ,"Active Adventure, Group, Fully Guided, Christmas & New Year+2 more",G Adventures,15 days,"1,019",5522
90,In-depth Cultural,Super Saver Golden Triangle Tour of India," New Delhi, Agra, Fatehpur Sikri, Jaipur ", 1 to 90 ,"Family, Private, Partially Guided, Explorer, Christmas & New Year+3 more",GeTS Holidays,6 days,710,80984
91,In-depth Cultural,Divine India - Rediscover Yourself (All Inclusive with local flights)," New Delhi, Varanasi, Prayagraj, Khajuraho, Orchha, Gwalior, Bharatpur, Mathura, Haridwar, Rishikesh+2 more", 5 to 90 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",MTA Destination Experts,11 days,899,188483
92,In-depth Cultural,Golden Triangle Tour - Delhi Agra Jaipur Tour - Taj Mahal Sunrise/Sunset 5 days," New Delhi, Agra, Jaipur ", 1 to 99 ,"Family, Private, Group, Partially Guided, Explorer, Christmas & New Year+3 more",Wonderful Holidays,5 days,424,155835
93,In-depth Cultural,Golden Triangle Private Luxury Tour from Delhi," New Delhi, Agra, Jaipur ", 1 to 99 ,"Family, Custom, Private, Partially Guided, Christmas & New Year+2 more",Travel Creators Of India,5 days,602,195454
94,Safari,07 Days: Delhi-Agra- Ranthambore-Jaipur-Delhi (Jungle Safari)," New Delhi, Agra, Ranthambore National Park, Jaipur ", 10 to 90 ,"Family, Private, Fully Guided, Explorer, Christmas & New Year+3 more",Memorable India Journeys,7 days,601,218383
95,In-depth Cultural,"5 Days Delhi,Agra and Jaipur Private Tour"," New Delhi, Agra, Fatehpur Sikri, Jaipur ", 1 to 90 ,"Family, Private, Partially Guided, Explorer, Christmas & New Year+3 more",Raj Tour & Travel,5 days,405,111715
96,In-depth Cultural,Golden Triangle & Goa - 13 Days," New Delhi, Agra, Fatehpur Sikri, Karauli, Jaipur, Goa ", 18 to 70 ,"Group, Fully Guided, Explorer+1 more",On The Go Tours,13 days,"1,465",2583
97,In-depth Cultural,Best Private Classic Luxury India Tour - 15 Days," New Delhi, Varanasi, Agra, Ranthambore National Park, Jaipur, Jodhpur, Udaipur ", 15 to 90 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Amazing India Tours,15 days,"2,459",185513
98,In-depth Cultural,Heritage luxury hotel Rajasthan tour," New Delhi, Agra, Jaipur, Jodhpur, Ranakpur, Udaipur, Pushkar ", 5 to 90 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Payless tours india,10 days,"1,051",128794
99,Explorer,Golden Triangle Tour with Ranthambore & Varanasi Tour," New Delhi, Jaipur, Ranthambore National Park, Agra, Varanasi ", 5 to 99 ,"Family, Safari, Private, Group, Partially Guided, Christmas & New Year+3 more",Agra Taj Visit,7 days,861,194215
100,Safari,For The Love of Taj & Tiger - Golden Triangle With Ranthambore (All Inclusive with 3 Tiger Safari)," New Delhi, Jaipur, Ranthambore National Park, Fatehpur Sikri, Agra, Vrindavan ", 5 to 90 ,"Family, Private, Group, Fully Guided, Explorer, Christmas & New Year+3 more",MTA Destination Experts,8 days,650,114564
101,Explorer,Golden Triangle Tour With Tiger Safari," New Delhi, Agra, Ranthambore National Park, Jaipur ", 5 to 85 ,"Family, Safari, Tiger, Private, Fully Guided, Christmas & New Year+3 more",Fragrance of Taj,7 days,476,138401
102,In-depth Cultural,TALES OF INDIA : TAILOR MADE INDIA (Luxury Tailor Made Journey)," New Delhi, Agra, Fatehpur Sikri, Abhaneri, Jaipur, Pushkar, Bundi, Chittorgarh, Udaipur, Mumbai+2 more", 5 to 90 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",MTA Destination Experts,10 days,"1,571",149813
103,In-depth Cultural,Taj and Raj - 12 Days," New Delhi, Kalka, Shimla, Agra, Fatehpur Sikri, Jaipur, Alsisar ", 18 to 70 ,"Active Adventure, Group, Fully Guided, Explorer, Christmas & New Year+3 more",On The Go Tours,12 days,"1,381",2581
104,In-depth Cultural,"Fort Palaces, Taj Mahal, Temple and Lake City of Rajasthan"," New Delhi, Agra, Jaipur, Jodhpur, Ranakpur, Udaipur ", 1 to 96 ,"Family, Private, Group, Fully Guided, Explorer, Christmas & New Year+3 more",Yolo India Tours,9 days,963,98621
105,Historical,6 Days Historical Golden Triangle Tour(ALL INCLUSIVE)," New Delhi, Jaipur, Agra ", 5 to 90 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Travel Con,6 days,449,148767
106,In-depth Cultural,Golden Triangle Tour with Varanasi," New Delhi, Agra, Taj Mahal, Fatehpur Sikri, Jaipur, Varanasi ", 1 to 80 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Alkof Holidays,8 days,600,139369
