,index,Unnamed: 0,Destination_link,Review,Sentiment Score
67,67,67,161844,"This was the best tour I’ve EVER been on. From the people to the places, it was a wonderful adventure. Trafalgar’s Alaska staff may have ruined me for all other tour companies.",5
68,68,68,161844,"In general things went very well. However, At the Denali location there was a shortage of staff which prevented full service at the  Park, Ie. not all dinning venues were normal and our room service such as daily service was missing. We were told, staff...

            Show more",3
69,69,69,161844,"This trip was excellent!  It's a very busy itinerary with not much rest, but so many great things to see and do that lack of sleep was worth it!  Our Travel Director, Kris made the bus rides very enjoyable and he was very knowledgeable of the area --...

            Show more",5
70,70,70,161844,"Super guide and driver
Led from the front.... in all regards
Tour would have been nowhere near as successful without them",4
71,71,71,161844,"Overall a great tour. Scott (guide) and Tony (driver) were both great. Accommodations were excellent. Meals were okay--some very good, some average. Feeding large crowds is difficult so you can't expect top quality in every meal. One thing that should...

            Show more",4
72,72,72,161844,Fantastic. Loved my stay at Denali National Park and train to Anchorage,5
73,73,73,104089,"Fabulous experience, small group",5
74,74,74,104089,"I would like to add that the communication between tour radar and us was poor. No notice of change of first night hotel was passed on to us and the start n finish dates are not discussed AT all. It is really a 6 day tour not 8 day tour as advertised....

            Show more",2
75,75,75,104089,"Wynn was a wonderful guide. Hotels were very nice.  No complaints about anything. 
This is an amazing adventure and the entire trip was flawless.",5
76,76,76,104089,"Our Utah Mighty 5 Tour exceeded expectations in every category imaginable. This was our first guided travel tour and we felt spoiled in every respect. As close to an all inclusive hiking tour I think you could find. Our guide, Christopher, was...

            Show more",5
77,77,77,104089,Christopher was an excellent guide.  Our tour group of 12 melded on the first day.  The sites were excellent and so was the company.,5
78,78,78,104089,Amazing tour and guide,5
79,79,79,104089,Superb tour leader awesome scenery great accommodations,5
80,80,80,104089,"Our Mighty 5 Southwest Adventure Tour was AWESOME!  Our guide, Hans, was incredible and the landscape was unbelievable! Hans was very personable, efficient, and kept us on schedule with out ever rushing us.  The vehicle was very comfortable. Hans was an...

            Show more",5
81,81,81,104089,"My tour ""Mighty 5 From Salt Lake City"" experience with southwest-adventure-tours was awesome! Tour guide ""Hans Kohte"" were enormously knowledgeable, did a excellent job of sharing his knowledge on The Colorado Plateau 1500 million year history very...

            Show more",5
82,82,82,104089,"This is a tour of a lifetime!  If you are at all contemplating this trip, just do it!  Our tour guide was awesome and accommodated everyone’s needs for hiking.  The food and hotel accommodations were excellent!  We saw and hiked so much in 6 days so it...

            Show more",5
83,83,83,62087,"I had a great time doing the Utah Parks Circuit. Despite the bad weather we could see a lot. My highlights were the Narrows in Zion and Bryce Canyon. More time in Bryce Canyon would have been nice.
Campgrounds were remote but all had nice restrooms with...

            Show more",4
84,84,84,62087,"Guide was great and very knowledgeable, people were nice, and the trip was fun.",5
85,85,85,62087,I felt that the leader was extremely knowledgeable and put in the time to research and locate great locations to stop off at between the main inclusions we got to experience.,4
86,86,86,62087,"Tight schedule - got to see a lot - at times I would have liked a bit more info upfront so I could have planned better (eg at one point I was enjoying a post-lunch beer & was told we had to go now so I had to tip it away; turns out we got in the van,...

            Show more",3
87,87,87,62087,"This trip was simply amazing, super well organized and our CEO Crystal Friedman was awesome, always helpful and super cool! All places we visited were amazing and the highlight of the trip was definitely the unforgettable overnight experience at...

            Show more",5
88,88,88,62087,"This was my second trip, and it was even better than the first. I love the small groups, the knowledgable guide, and the unique adventures. I will, and have already recommended it.",5
89,89,89,62087,Dan Joyal. The guide was exceptional and made the experience exceed expectations.,5
90,90,90,62087,"It was a great fun trip.  I was moved to see many wonderful views.  I was not good at English, but everyone was very kind and I was able to spend a good time everyday.  Especially the tour leader explained carefully.",5
91,91,91,62087,"We did this trip during the government strike in 2013 which meant all the National Parks were closed. Intrepid did a WONDERFUL job mitigating the situation and we still got to go camping and hiking at some select state parks. Luckily, the Grand Canyon...

            Show more",4
92,92,92,82420,"The tour itself was good, It was just that the islands didn’t really live up to my expectations.",3
93,93,93,82420,"Awful. This company is a rip off. I cancelled my trip in March and still have not received my refund even though I bought insurance. Do not book with Trafalgar. They have told me repeatedly my check is in the mail. Yet I am still without my refund 6...

            Show more",1
94,94,94,82420,Conflicting information; poor or no itinerary; lousy hotel - this is not what I paid a premium price for. One of our fellow travelers said he had 15 tours on Trafalgar and this was the worst and last Trafalgar he would ever take. I totally concur!,1
95,95,95,82420,Everything was well organized.,5
96,96,96,82420,"We were told by Tour Radar that we could not plan “individual outings” before our trip. “Wait until you get there and your tour guide will help you”. At least that was my interpretation. So by the time we got to Hawaii a couple of the events we wanted...

            Show more",3
97,97,97,82420,"Well planned and executed. Good mix of group activities, optionals, and individual time. Excellent tour guide. Wonderful accommodations on Maui and Hawaii. Great location in Waikiki.",5
98,98,98,82420,"Fun trip, Trafalgar tour guide and health director did a wonderful job guiding and managing the trip.  Oahu / Honolulu is way too crowded and busy, Waikiki beach was fun.  Restaurants moving to 50% occupancy was a drag, but it’s a COVID world we live in...

            Show more",4
99,99,99,82420,"The tour was much better than I expected as I hadn’t done a group tour for years. Robert was on the ball and gave us excellent tips and advice and kept us moving so we were all timely. The accommodation was great (I should have paid extra and had an...

            Show more",5
100,100,100,82420,"Fantastic trip through out O'AHU, MAUI and HAWAII. Our guide Michael Murakami, #Trafalgar, was informative, funny and always on point. We started, my husband and I, in Wakiki Beach than Pearl Harbor and a visit through town looking at the King's palace,...

            Show more",5
101,101,101,218158,"This was a great tour, I highly recommend",5
102,102,102,218158,"We had a wonderful tour. Our tour guide was John Harris, he did an outstanding job making sure everyone had a great experience, had enough water and went out of his way too accommodate everyone’s dietary needs. We would highly recommend taking this...

            Show more",5
103,103,103,218158,"One of the best group trips I have ever been on. Rene was absolutely fantastic! Zion national park, Bryce Canyon and the Grand Canyon are absolutely amazing places to visit. Photos can not do justice to the sheer magnificent beauty. Our group was...

            Show more",5
104,104,104,204277,"We experienced more of Yellowstone and the Grand Tetons with this tour, than we would have on our own.  We enjoyed meeting new people, seeing all the sights, and not having to worry about driving and directions.  Be prepared to do a lot of...

            Show more",4
105,105,105,204277,"The Bucketlist group travel team was well organized, friendly, and excited an fun packed adventure. It was an awesome adventure. Best travel adventure I've experienced.",5
106,106,106,90265,"I want to preface this review by saying we are not ""Tour People"" and generally prefer to do our own planning. We thought we'd give this one a try. The good parts: The Alaska tour took us to some places I would not have thought about, such as a visit to...

            Show more",3
107,107,107,90265,"For only having 8 days to try to highlight such a massive, incredible state this tour was amazing!  It really gives a great glimpse into the majesty of Alaska and the awesome local people who live here. There were a couple of bumps as the state is...

            Show more",5
108,108,108,90721,This was an amazing tour! Emily was brilliant she had loads of recommendations in all of the places we stopped in and made sure that everything always ran smoothly! Thank you for a fab tour!,5
109,109,109,90721,Emily was amazing! She was organized and fun and always a step ahead to ensure things ran smoothly. She made the trip easy and enjoyable. I’m incredibly grateful I was able to have a stress free vacation!,5
110,110,110,90721,"Emily, has been an amazing tour guide her friendliness and ability to be adaptive in each situation, to ensure each individual is satisfied has been awesome to watch. The driver (Markus) and Emily worked really well together which added so much value to...

            Show more",5
111,111,111,90721,"I had the pleasure of travelling with Emily and my god it was by far THE best experience I have ever had. The trip ran so smoothly with how it was planned out each and every day, we were always updated the day before on tomorrows activities. Emily had...

            Show more",5
112,112,112,90721,"Fantastic tour! Great organisation from Emily, who helped us keep on track and answered our many questions, while having a great time with us",5
113,113,113,90721,Was informative and knowledgeable about the areas visited. Food recommendations were appreciated throughout the trip.,4
114,114,114,90721,"Had an amazing experience on this tour, largely due to how good Emily was - definitely the best in the business",4
115,115,115,90721,Thank you so much for making this trip unforgetable and amazing! Lots of love and all the best! 🧡,5
116,116,116,90721,"A great trip that I’ll always remember! Emily was very passionate about all the places we visited and had lots of advice, knowledge and history to give on each place!!",5
117,117,117,90721,"Emily was great! Had the best time. Organised, professional and can let her hair down with the group too, felt more as a close mate than other strict tour guides.

Thanks Emily, you’re welcome in Australia whenever you would like!",5
118,118,118,28322,"Amazing and awe inspiring. Lots of ""wow"" moments",5
119,119,119,28322,"We had an amazing experience on our trip!! We took our 16 year old son on the 3 Day Zion, Bryce and Grand Canyon tour and it exceeded our expectations!  I will definitely be looking at the other tours offered and would love to do one again next year.",5
120,120,120,28322,It was fast paced but plenty of time to see everything; enjoyed it!,4
121,121,121,28322,"Great trip to see some of the highlights in the desert from Vegas. Loved the Zion Canyon, Antelope Canyon just stunning and of course the Grand Canyon was simply amazing. Highly recommend if you are short on time and want to see as much as possible.",5
122,122,122,28322,"I LOVED this trip! Million times better that I expected! Went to amazing places, with such a great organization with the bathroom stops, the food, the timing. Never been to a more perfect tour in all ways. Our guide was Indy! His knowledge, experience...

            Show more",5
123,123,123,28322,"3 day tour covered so many amazing places and experiences. Our Guide Joseph was so knowledgeable about all the places we visited as well as being such a great guy to travel with. We hiked to the emerald pools in Zion, followed by visiting Bryce cannon...

            Show more",5
124,124,124,28322,"Did the 3-day tour and it was a great experience. This definitely was not an in-depth tour and shouldn't be perceived so prior to the tour. It was intense and schedule was tight throughout the whole 3-day tour. Wish we had more time at each place....

            Show more",4
125,125,125,28322,"Beautiful 3 day tour worth how much it was spent. Indy was a terrific guide who delighted us with his tales throughout the tour. Perfect organization, beautiful camping experience, bring something warm for the first night at Zion when you leave your...

            Show more",5
126,126,126,28322,"I highly recommend this tour, this was one of the best things that I have done!! Bindlestiff Tours sent me detailed instructions as to what to bring and what to keep in mind which made me much easier to prepare for the trip. Indy, our tour guide, was...

            Show more",5
127,127,127,28322,The absolute best tour and the best tour guide!,5
128,128,128,210158,I love getting out in nature and hiking and taking lots of pictures and this tour provided that. It truly was a trip I&#39;ll always treasure.,5
129,129,129,210158,"A great tour of the two beautiful national parks, with covering of wild life, geographic phenomenon, beautiful mountains and lakes. The staff is friendly and accommodating. I highly recommend this trip to anyone interested in exploring American national...

            Show more",5
130,130,130,210158,"I had a great time on this trip. I like the mix of seeing the sites in the park along with some light hiking. I think the amount of time for each park is spot on. I appreciate that we saw so much of Yellowstone! Erica was a great guide and I rate this...

            Show more",4
131,131,131,210158,"Pleasantly surprised at the quality of the experience, the friendliness of the CEO, and the extent to which the CEO looked out for everyone.",4
132,132,132,210158,"G Adventures tour was off-the-charts! We were looking for an active adventure - lots of quality hiking and activities (kayaking, whitewater rafting, horseback riding) that enabled us to truly experience the beauty and magnificent wildlife (pronghorn,...

            Show more",5
133,133,133,210158,"My husband and I have always wanted to explore the Grand Tetons and Yellowstone National parks, and experiencing this part of the country with G Adventures did not disappoint. Our leader was knowledgeable, passionate and had great energy for her job. We...

            Show more",5
134,134,134,210158,"Exceeded my expectations. I did not book this, my spouse did and neither one of us knew exactly what to expect. If I had listed my highest exceptions of the tour and the guide ahead of time, you still would have exceeded them! Thank you so much for...

            Show more",5
135,135,135,210158,"The tour was fine however the description did not indicate that there would be multiple hikes EVERY day.  Accommodations were fine except the first hotel put us all on the second floor without having an elevator.  If this is typical then you might want...

            Show more",3
136,136,136,65363,"Mesmerizing Grand Tetons!
I've been with Bindlestiff before and they did not disappoint the second time! Grand Tetons was mesmerizing and I am so glad I got this done through Bindlestiff!",5
137,137,137,65363,"Yellowstone/Grand Teton Camping Tour
Amazing trip to National Parks (Yellowstone & Grand Teton) in Montana/Wyoming! Each day, the guide made it possible to explore tens of incredible places in addition to the standard touristic spots, not forgetting to...

            Show more",5
138,138,138,65363,"5 STARS!!
We had a fantastic 7 day trip to Yellowstone, Grand Tetons & Bryce. Our guide was informative and super friendly. The campsites had great views and overall, the trip was spectacular! Highly recommend Bindlestiff Tours!!",5
139,139,139,65363,Event was great! Tour guide was the BEST couldn't ask for a better one forcsure!! Chris your the best!! Hope to see you and the group after the fall semester!!! God bless!! Much love and respect,5
140,140,140,65363,Joe is fun and passionate,5
141,141,141,65363,"OUTSTANDING TOUR!  Our tour guide Joseph Spaid was the best guide and i have taken many tours over the years. attentive to group needs, excellent meals choices and food organization. super knowledgeable on the area visited, personable professional d...

            Show more",5
142,142,142,65363,We have all submitted our reviews to Cindy at Bindlestiff Tours.  But she had to explanation.,3
143,143,143,65363,"First of all may I say our Guide was knowledgeable about flora and fauna and geological aspects of the areas we visited.  If he couldn't answer a question he took the time to research it.  He had a great sense of humor and since our group was 11 women,...

            Show more",5
144,144,144,65363,"I don't think I would choose this trip again although the sites visited were fine and overall I enjoyed the trip due to the comradery, an opportunity to learn, and the beauty of our National parks.  There is a lot of travelling/sitting in a van for...

            Show more",4
145,145,145,65363,"My trip was good because I was with my friends. The weather couldn't have been more perfect & the places we visited were magnificently beautiful. However, although our tour guide was a nice enough guy, I was not impressed with him at all. He seemed like...

            Show more",3
146,146,146,106355,"Well-planned and delivered on time as promised! John provided excellent commentary along the drive to each destination. This tour offers the amazing iconic views of the southwestern United States that I wanted in three busy days! I am exhausted, but...

            Show more",5
147,147,147,106355,"Excellent tour!!! I would highly recommend it. We saw so many beautiful things with plenty enough time at each stop. Our tour guide, Haley, was friendly, knowledgeable, and accommodating. Thank you for a 
safe and wonderful time.",5
148,148,148,106355,"Tim was our guide, and he did an excellent job! Due to strong winds, the Antelope Canyon closed for visit when we arrived, but Tim quickly found a great substitute nearby (Horseshoe bend) which we really appreciated. We have lived in the US for 1.5 year...

            Show more",5
149,149,149,106355,"Very well organised and friendly, helpful & informative guide. Really enjoyed the experience despite the cold and heavy snow.",5
150,150,150,106355,"Great tour. I wouldn't hesitate to recommend Bindlestiff tours. Good value for money. Adrian was a fabulous guide, a very safe driver who always had a smile and consistently demonstrated a sincere interest in the group’s enjoyment. We were the...

            Show more",5
151,151,151,106355,"Really good tour, you see a lot of very cool places in a short time! Great diversity of experiences from jeep tours to hikes to helicopter rides! Fair warning, its not for the faint of heart, its fast paced. But with that said it is great it you want to...

            Show more",4
152,152,152,106355,"Highly recommend!!!
Great family vacation with our 2 adult children. So relaxed and stress free. Chris P is exceptional at what he does and went out of his way to make sure we stayed informed every step of the way. Very entertaining!! Great trip if you...

            Show more",5
153,153,153,106355,"Just did the 3 days tour from Oct 17 to Oct 19 with our lovely tour guide Bradley Manhke, he is so nice, so professional and very knowledgeable!
Many thanks Bradley, André and I, we much enjoyed the 3 days tour with you!
And I should thank you for...

            Show more",5
154,154,154,106355,"We enjoyed the 3 days and two night Grand Canyon trip from Oct 17 to 19, 2022. This trip included 5 different sites starting with Zion Canyon, Bryce Canyon, Antelope Canyon, Monument Valley & Grand Canyon.  
Our tour guide Bradley Mahnke is very...

            Show more",4
155,155,155,106355,The whole trip was well organized and scenery was phenomenal. Bradley was very considerate and so very knowledgeable.,5
156,156,156,222592,Overall it was a great trip. Rollie was awesome.,4
157,157,157,222592,"It was a great experience and I would absolutely do it again. Awesome new friends, great itinerary and fantastic guide!",5
158,158,158,222592,"As my first time with G adventures, I was nervous about the tour. These nerves went away almost immediately when I met my CEO and group. The energy was fun and welcoming and I was able to get the most out of the beautiful landscapes in California. I was...

            Show more",5
159,159,159,177100,"This will be my last trip with G adventure. Twice now that my meet up point on the tour date was changed but no one from G or touradar contacted me. One was my trip to South America and now this tour. I showed up at the meeting point on my 1st day of...

            Show more",5
160,160,160,177100,Great and rewarding experience.,5
161,161,161,177100,"Hard working and efficient CEO.  Camping sites were ok - facilities not working well.  Stated iteniary changes - hiking options (unavoidable) and drop off at end of tour (would have been helpful to know sooner).
Beautiful area to experience - some hikes...

            Show more",3
162,162,162,177100,The trip was full of beautiful nature and wonderful opportunities to explore. I loved how everything was planned out and all the travelers had to worry about was having a great time.,5
163,163,163,177100,"The days were perfectly balance between traveling, hiking and sightseeing. CEO Rollie was easy going, flexible and so knowledgeable of the area.",5
164,164,164,177100,Great trip!!!!!,5
165,165,165,177100,"The trip overall was amazing. Well thought out tour and many challenging hikes. Well organized , great transportation and rest food considering it was camping. But the CEO overall made the trip better with his enthusiasm and knowledge.",4
166,166,166,177100,I loved the hikes.,5
167,167,167,177100,"A great tour of 3 national parks, with plenty of sights to see and hiking options.",5
168,168,168,177100,"I had an awesome time! It was definitely the trip of a lifetime for me. The scenery in the three parks we visited was breathtaking! I have been dreaming about seeing the sequoia trees all of my life and this experience was all I thought it would be and...

            Show more",5
169,169,169,167549,Could have been better,3
170,170,170,167549,"Great group of US and international travelers. My 3 day tour of Northern California was packed with beautiful locations. My favorite visit was Monterey, California, so beautiful.

Thank you to Roberto for guiding our tour and shepherding our flock! And...

            Show more",5
171,171,171,167549,I didn't see the cities in the tour. They have a too big bus. So it couldn't go to  so much places. We saw restricted places quickly.,2
172,172,172,167549,"Fun and well organised. Roberto and Zippi were great. There was a lot of time on the bus compared to time spent at destinations, but still worth it.",4
173,173,173,167549,"We had a 4-Day California Express Private Tour. The Tour to Sta. Barbara, Carmel, San Francisco, Yosemite and San Diego was fantastic. Roberto, our tour guide, was very patient with us, Seniors. Our driver, Sam was great. 

Lodging at Springhill Suites...

            Show more",5
174,174,174,167549,Brilliant tour. Jacob and Belinda were fantastic. Busy jam packed tour to see as much as we could vet the three days. Lovely hotel. Many thanks.,5
175,175,175,167549,Excellent service. Jacob tour guide was very nice,5
176,176,176,167549,Really good for first timers and with big families,5
177,177,177,167549,We enjoyed the time. It was an excellent tour. Guides were great and helpful,5
178,178,178,104092,The area was beautiful. Accommodations were excellent and the tour guide was superb. She knew the history of the area and people and modified the tour to make it the best possible for our group. Can’t say enough about her. She put our tour over the top.,5
179,179,179,104092,Excellent tour guide. And very knowledgeable. Accommodations were very comfortable. Many wildlife viewings.  Saw incredible geological features and  geysers.  Trip exceeded my expectations in all areas.,5
180,180,180,104092,"Perfekte Route. Zwei Tage Grand Teton und 3 Tage Yellowstone sollten es auf jeden Fall sein, um die Schönheit dieser Parks genießen zu können. Zentrale Hotels, so dass man Abends gut zu Fuß die Gegend erkunden kann",5
181,181,181,104092,Tour guide did a great job. Had an excellent week. Will consider future trips through TourRadar and Southwest tours.,5
